# seg_extrap  step=176600  weights=ema  segs=128  n=512  elapsed=108s
# cfg: d=832 H=8 blocks=8 layers=1 order=post stdp=addr/perp lam_fixed=-1.0 gain_fixed=-1.0 read=prod diag=keep dist_decay=False
  seg      acc  exact   exact%    churn
    1   0.6748     13     2.54  0.00000
    2   0.6955     13     2.54  0.16305
    3   0.7054     26     5.08  0.11024
    4   0.7097     47     9.18  0.09430
    5   0.7128     60    11.72  0.09288
    6   0.7128     68    13.28  0.09575
    7   0.7129     78    15.23  0.10209
    8   0.7124     82    16.02  0.11063
    9   0.7114     84    16.41  0.12507
   10   0.7078     87    16.99  0.13993
   11   0.7073     90    17.58  0.15577
   12   0.7053     95    18.55  0.17388
   13   0.7066     98    19.14  0.18670
   14   0.7042     99    19.34  0.20009
   15   0.7020     99    19.34  0.21128
   16   0.7017    100    19.53  0.22121  <-train
   17   0.6977    102    19.92  0.22748
   18   0.6931    103    20.12  0.23117
   19   0.6950    103    20.12  0.23317
   20   0.6916    107    20.90  0.24291
   21   0.6923    108    21.09  0.24769
   22   0.6912    110    21.48  0.24805
   23   0.6891    111    21.68  0.24482
   24   0.6889    111    21.68  0.24805
   25   0.6892    112    21.88  0.24932
   26   0.6907    113    22.07  0.25118
   27   0.6923    113    22.07  0.24986
   28   0.6911    113    22.07  0.24508
   29   0.6912    114    22.27  0.24684
   30   0.6932    115    22.46  0.24788
   31   0.6927    116    22.66  0.24749
   32   0.6890    117    22.85  0.25068
   33   0.6906    117    22.85  0.24838
   34   0.6877    118    23.05  0.24863
   35   0.6926    118    23.05  0.24949
   36   0.6889    119    23.24  0.24961
   37   0.6947    120    23.44  0.24860
   38   0.6901    120    23.44  0.24940
   39   0.6924    120    23.44  0.24973
   40   0.6955    120    23.44  0.24173
   41   0.6937    121    23.63  0.23802
   42   0.6926    122    23.83  0.24368
   43   0.6898    122    23.83  0.24491
   44   0.6918    122    23.83  0.24470
   45   0.6916    123    24.02  0.24248
   46   0.6959    123    24.02  0.24209
   47   0.6954    124    24.22  0.24253
   48   0.6946    124    24.22  0.24470
   49   0.6983    125    24.41  0.24245
   50   0.6952    125    24.41  0.24197
   51   0.6969    125    24.41  0.24542
   52   0.6991    126    24.61  0.24400
   53   0.6995    126    24.61  0.23799
   54   0.7006    126    24.61  0.23245
   55   0.6987    127    24.80  0.23560
   56   0.6959    128    25.00  0.23628
   57   0.6974    128    25.00  0.24154
   58   0.7012    129    25.20  0.23387
   59   0.6972    129    25.20  0.23348
   60   0.6970    130    25.39  0.24151
   61   0.6995    131    25.59  0.23683
   62   0.6980    132    25.78  0.23302
   63   0.6958    132    25.78  0.23450
   64   0.7003    132    25.78  0.23527
   65   0.6988    132    25.78  0.23199
   66   0.6985    132    25.78  0.23413
   67   0.7013    132    25.78  0.23110
   68   0.7007    132    25.78  0.22811
   69   0.6994    132    25.78  0.23524
   70   0.6986    132    25.78  0.23515
   71   0.6971    132    25.78  0.23529
   72   0.6953    132    25.78  0.23973
   73   0.6969    132    25.78  0.23874
   74   0.6957    132    25.78  0.23474
   75   0.6954    132    25.78  0.23293
   76   0.7021    133    25.98  0.23052
   77   0.7021    134    26.17  0.22222
   78   0.6970    136    26.56  0.23331
   79   0.6954    136    26.56  0.24359
   80   0.7018    136    26.56  0.23570
   81   0.7006    137    26.76  0.23040
   82   0.6986    137    26.76  0.23358
   83   0.7035    138    26.95  0.22847
   84   0.7041    138    26.95  0.21759
   85   0.7023    139    27.15  0.22316
   86   0.7054    139    27.15  0.21998
   87   0.7011    139    27.15  0.21921
   88   0.7027    139    27.15  0.22827
   89   0.7022    139    27.15  0.22598
   90   0.7031    139    27.15  0.22270
   91   0.7017    139    27.15  0.22827
   92   0.7030    139    27.15  0.22832
   93   0.7018    139    27.15  0.22439
   94   0.6997    139    27.15  0.22825
   95   0.7010    139    27.15  0.22736
   96   0.7011    139    27.15  0.22478
   97   0.6990    139    27.15  0.22844
   98   0.7019    139    27.15  0.22446
   99   0.7032    139    27.15  0.22068
  100   0.7020    140    27.34  0.22437
  101   0.7042    140    27.34  0.22531
  102   0.7016    140    27.34  0.22184
  103   0.7027    140    27.34  0.22485
  104   0.7043    140    27.34  0.22379
  105   0.7024    140    27.34  0.22263
  106   0.6994    140    27.34  0.22548
  107   0.7027    140    27.34  0.22389
  108   0.6999    140    27.34  0.22056
  109   0.7031    140    27.34  0.21812
  110   0.7031    141    27.54  0.21644
  111   0.6999    141    27.54  0.22119
  112   0.7018    141    27.54  0.22232
  113   0.7038    141    27.54  0.21902
  114   0.7045    141    27.54  0.21967
  115   0.7056    141    27.54  0.21542
  116   0.7028    142    27.73  0.21889
  117   0.7032    143    27.93  0.22123
  118   0.7018    143    27.93  0.21694
  119   0.7045    143    27.93  0.22037
  120   0.7053    143    27.93  0.21504
  121   0.7076    143    27.93  0.21639
  122   0.7076    143    27.93  0.22106
  123   0.7044    143    27.93  0.21902
  124   0.7044    143    27.93  0.21504
  125   0.7041    143    27.93  0.21793
  126   0.7061    143    27.93  0.21829
  127   0.7060    143    27.93  0.21398
  128   0.7048    143    27.93  0.21222

train seg16: acc 0.7017  exact 100/512 (19.53%)
best acc:    seg 7  0.7129  (+0.0112)
best exact:  seg 117  143/512 (27.93%)  (+43, +8.40%p)
