# seg_extrap  step=120000  weights=ema  segs=128  n=512  elapsed=55s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6713     10     1.95  0.00000
    2   0.7053     14     2.73  0.14210
    3   0.7273     31     6.05  0.08483
    4   0.7408     76    14.84  0.06180
    5   0.7477    104    20.31  0.05134
    6   0.7532    120    23.44  0.04565
    7   0.7544    134    26.17  0.04352
    8   0.7575    143    27.93  0.04294
    9   0.7590    145    28.32  0.04492
   10   0.7606    154    30.08  0.04931
   11   0.7607    158    30.86  0.05047
   12   0.7617    163    31.84  0.05645
   13   0.7656    168    32.81  0.05956
   14   0.7676    176    34.38  0.06515
   15   0.7692    178    34.77  0.06800
   16   0.7706    184    35.94  0.07453  <-train
   17   0.7714    187    36.52  0.08244
   18   0.7705    190    37.11  0.08577
   19   0.7740    194    37.89  0.08717
   20   0.7764    198    38.67  0.08960
   21   0.7777    202    39.45  0.08982
   22   0.7782    203    39.65  0.09158
   23   0.7764    206    40.23  0.09252
   24   0.7769    207    40.43  0.09259
   25   0.7774    207    40.43  0.09725
   26   0.7786    208    40.62  0.10072
   27   0.7799    209    40.82  0.10000
   28   0.7842    212    41.41  0.09421
   29   0.7853    214    41.80  0.09353
   30   0.7849    217    42.38  0.09604
   31   0.7888    217    42.38  0.09896
   32   0.7881    217    42.38  0.09838
   33   0.7877    218    42.58  0.09775
   34   0.7880    221    43.16  0.09609
   35   0.7876    222    43.36  0.09657
   36   0.7888    224    43.75  0.09737
   37   0.7894    225    43.95  0.09669
   38   0.7892    225    43.95  0.09688
   39   0.7901    225    43.95  0.09809
   40   0.7924    228    44.53  0.09561
   41   0.7914    230    44.92  0.09650
   42   0.7916    231    45.12  0.09633
   43   0.7940    232    45.31  0.09389
   44   0.7943    232    45.31  0.09597
   45   0.7948    233    45.51  0.09524
   46   0.7955    234    45.70  0.09433
   47   0.7951    238    46.48  0.09163
   48   0.7981    239    46.68  0.09151
   49   0.7995    239    46.68  0.09158
   50   0.7996    239    46.68  0.09090
   51   0.7973    241    47.07  0.09170
   52   0.7988    243    47.46  0.08823
   53   0.7979    245    47.85  0.08784
   54   0.8016    246    48.05  0.08647
   55   0.8038    246    48.05  0.08644
   56   0.8041    247    48.24  0.08719
   57   0.8034    248    48.44  0.08907
   58   0.8039    248    48.44  0.08972
   59   0.8030    251    49.02  0.08820
   60   0.8012    252    49.22  0.08767
   61   0.8007    252    49.22  0.08423
   62   0.7988    252    49.22  0.08967
   63   0.8025    252    49.22  0.08982
   64   0.8058    252    49.22  0.08743
   65   0.8062    254    49.61  0.08611
   66   0.8083    255    49.80  0.08666
   67   0.8093    256    50.00  0.08451
   68   0.8078    256    50.00  0.08599
   69   0.8095    257    50.20  0.08734
   70   0.8102    259    50.59  0.08473
   71   0.8125    259    50.59  0.08611
   72   0.8131    259    50.59  0.08502
   73   0.8143    260    50.78  0.08599
   74   0.8146    261    50.98  0.08620
   75   0.8159    261    50.98  0.08384
   76   0.8153    262    51.17  0.08396
   77   0.8168    263    51.37  0.08355
   78   0.8145    263    51.37  0.08427
   79   0.8117    263    51.37  0.08618
   80   0.8122    265    51.76  0.08599
   81   0.8120    267    52.15  0.08705
   82   0.8130    267    52.15  0.08316
   83   0.8133    267    52.15  0.08497
   84   0.8154    269    52.54  0.08497
   85   0.8164    270    52.73  0.08288
   86   0.8173    271    52.93  0.08338
   87   0.8188    272    53.12  0.08256
   88   0.8215    273    53.32  0.08095
   89   0.8201    276    53.91  0.08066
   90   0.8220    276    53.91  0.08119
   91   0.8215    276    53.91  0.08138
   92   0.8215    278    54.30  0.08136
   93   0.8238    278    54.30  0.08331
   94   0.8267    278    54.30  0.07866
   95   0.8264    279    54.49  0.08022
   96   0.8258    281    54.88  0.08085
   97   0.8246    282    55.08  0.07902
   98   0.8226    283    55.27  0.07817
   99   0.8273    283    55.27  0.07870
  100   0.8277    284    55.47  0.07856
  101   0.8282    284    55.47  0.07743
  102   0.8266    284    55.47  0.07735
  103   0.8262    284    55.47  0.07470
  104   0.8292    284    55.47  0.07731
  105   0.8290    285    55.66  0.08121
  106   0.8269    285    55.66  0.08186
  107   0.8262    285    55.66  0.07861
  108   0.8260    286    55.86  0.07750
  109   0.8279    286    55.86  0.07634
  110   0.8305    286    55.86  0.07210
  111   0.8315    286    55.86  0.07417
  112   0.8309    287    56.05  0.07296
  113   0.8312    287    56.05  0.07509
  114   0.8296    287    56.05  0.07856
  115   0.8261    287    56.05  0.07894
  116   0.8281    287    56.05  0.07567
  117   0.8281    288    56.25  0.07424
  118   0.8307    288    56.25  0.07497
  119   0.8305    289    56.45  0.07907
  120   0.8322    289    56.45  0.07723
  121   0.8349    289    56.45  0.07540
  122   0.8351    290    56.64  0.07492
  123   0.8353    291    56.84  0.07656
  124   0.8365    291    56.84  0.07540
  125   0.8367    291    56.84  0.07530
  126   0.8365    291    56.84  0.07752
  127   0.8358    291    56.84  0.07656
  128   0.8350    292    57.03  0.07533

train seg16: acc 0.7706  exact 184/512 (35.94%)
best acc:    seg 125  0.8367  (+0.0661)
best exact:  seg 128  292/512 (57.03%)  (+108, +21.09%p)
