# seg_extrap  step=26000  weights=ema  segs=128  n=512  elapsed=105s
# cfg: d=832 H=8 blocks=8 layers=1 layers=1 znorm_eps=0.08 eta_init=0.05 gain_init=1.0
  seg      acc  exact   exact%    churn
    1   0.6480      1     0.20  0.00000
    2   0.6661     13     2.54  0.08977
    3   0.6727     13     2.54  0.04991
    4   0.6774     13     2.54  0.03699
    5   0.6794     14     2.73  0.03183
    6   0.6826     17     3.32  0.02756
    7   0.6839     24     4.69  0.02889
    8   0.6841     29     5.66  0.02493
    9   0.6835     40     7.81  0.02404
   10   0.6827     46     8.98  0.02117
   11   0.6814     52    10.16  0.02151
   12   0.6816     53    10.35  0.01960
   13   0.6812     54    10.55  0.01953
   14   0.6809     58    11.33  0.01936
   15   0.6801     59    11.52  0.01837
   16   0.6791     62    12.11  0.01910  <-train
   17   0.6787     61    11.91  0.01977
   18   0.6785     63    12.30  0.02083
   19   0.6783     63    12.30  0.02293
   20   0.6781     63    12.30  0.02276
   21   0.6784     64    12.50  0.02387
   22   0.6774     64    12.50  0.02643
   23   0.6775     64    12.50  0.02727
   24   0.6772     64    12.50  0.02727
   25   0.6766     64    12.50  0.02780
   26   0.6770     64    12.50  0.02918
   27   0.6766     64    12.50  0.02906
   28   0.6767     64    12.50  0.03048
   29   0.6768     64    12.50  0.03067
   30   0.6770     64    12.50  0.03200
   31   0.6770     64    12.50  0.03130
   32   0.6768     64    12.50  0.03284
   33   0.6766     64    12.50  0.03451
   34   0.6766     64    12.50  0.03419
   35   0.6761     64    12.50  0.03410
   36   0.6771     64    12.50  0.03513
   37   0.6761     64    12.50  0.03598
   38   0.6767     64    12.50  0.03627
   39   0.6759     64    12.50  0.03692
   40   0.6767     64    12.50  0.03774
   41   0.6763     64    12.50  0.03798
   42   0.6766     64    12.50  0.03791
   43   0.6773     64    12.50  0.03737
   44   0.6770     64    12.50  0.03781
   45   0.6768     64    12.50  0.03856
   46   0.6778     64    12.50  0.03998
   47   0.6762     64    12.50  0.04022
   48   0.6766     64    12.50  0.04065
   49   0.6767     64    12.50  0.03983
   50   0.6766     64    12.50  0.04000
   51   0.6772     64    12.50  0.03860
   52   0.6767     64    12.50  0.03976
   53   0.6770     64    12.50  0.04077
   54   0.6776     64    12.50  0.04167
   55   0.6764     64    12.50  0.04135
   56   0.6770     64    12.50  0.04106
   57   0.6780     64    12.50  0.04210
   58   0.6765     64    12.50  0.04174
   59   0.6769     64    12.50  0.04044
   60   0.6762     64    12.50  0.04234
   61   0.6770     64    12.50  0.04261
   62   0.6766     64    12.50  0.04239
   63   0.6755     64    12.50  0.04256
   64   0.6772     64    12.50  0.04246
   65   0.6772     64    12.50  0.04212
   66   0.6776     64    12.50  0.04275
   67   0.6775     64    12.50  0.04200
   68   0.6764     64    12.50  0.04068
   69   0.6776     64    12.50  0.04302
   70   0.6766     64    12.50  0.04340
   71   0.6768     64    12.50  0.04196
   72   0.6779     64    12.50  0.04290
   73   0.6773     64    12.50  0.04237
   74   0.6773     64    12.50  0.04188
   75   0.6773     64    12.50  0.04335
   76   0.6772     64    12.50  0.04251
   77   0.6768     64    12.50  0.04253
   78   0.6765     64    12.50  0.04239
   79   0.6770     64    12.50  0.04263
   80   0.6771     64    12.50  0.04234
   81   0.6764     64    12.50  0.04328
   82   0.6776     64    12.50  0.04410
   83   0.6773     64    12.50  0.04159
   84   0.6774     64    12.50  0.04280
   85   0.6763     64    12.50  0.04285
   86   0.6764     64    12.50  0.04331
   87   0.6772     64    12.50  0.04362
   88   0.6774     64    12.50  0.04367
   89   0.6758     64    12.50  0.04321
   90   0.6780     64    12.50  0.04328
   91   0.6771     64    12.50  0.04234
   92   0.6766     64    12.50  0.04217
   93   0.6763     64    12.50  0.04292
   94   0.6768     64    12.50  0.04253
   95   0.6771     64    12.50  0.04304
   96   0.6768     64    12.50  0.04323
   97   0.6764     64    12.50  0.04258
   98   0.6780     64    12.50  0.04188
   99   0.6773     64    12.50  0.04321
  100   0.6766     64    12.50  0.04237
  101   0.6773     64    12.50  0.04169
  102   0.6771     64    12.50  0.04314
  103   0.6755     64    12.50  0.04273
  104   0.6779     64    12.50  0.04350
  105   0.6773     64    12.50  0.04222
  106   0.6773     64    12.50  0.04316
  107   0.6769     64    12.50  0.04251
  108   0.6764     64    12.50  0.04338
  109   0.6786     64    12.50  0.04345
  110   0.6766     64    12.50  0.04391
  111   0.6766     64    12.50  0.04321
  112   0.6771     64    12.50  0.04266
  113   0.6774     64    12.50  0.04379
  114   0.6765     64    12.50  0.04331
  115   0.6775     64    12.50  0.04350
  116   0.6780     64    12.50  0.04239
  117   0.6764     64    12.50  0.04297
  118   0.6770     64    12.50  0.04384
  119   0.6772     64    12.50  0.04292
  120   0.6764     64    12.50  0.04381
  121   0.6779     64    12.50  0.04294
  122   0.6768     64    12.50  0.04285
  123   0.6773     64    12.50  0.04241
  124   0.6781     64    12.50  0.04282
  125   0.6766     64    12.50  0.04413
  126   0.6771     64    12.50  0.04357
  127   0.6773     64    12.50  0.04352
  128   0.6770     64    12.50  0.04261

train seg16: acc 0.6791  exact 62/512 (12.11%)
best acc:    seg 8  0.6841  (+0.0049)
best exact:  seg 21  64/512 (12.50%)  (+2, +0.39%p)
