# seg_extrap  step=70000  weights=ema  segs=128  n=512  elapsed=59s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6710     11     2.15  0.00000
    2   0.7026     14     2.73  0.16527
    3   0.7256     35     6.84  0.11232
    4   0.7391     74    14.45  0.08471
    5   0.7436    105    20.51  0.07644
    6   0.7475    120    23.44  0.07677
    7   0.7437    129    25.20  0.08432
    8   0.7451    137    26.76  0.09201
    9   0.7461    145    28.32  0.10084
   10   0.7434    151    29.49  0.11246
   11   0.7437    156    30.47  0.12355
   12   0.7442    158    30.86  0.12951
   13   0.7458    160    31.25  0.13575
   14   0.7439    163    31.84  0.13778
   15   0.7446    166    32.42  0.13720
   16   0.7438    170    33.20  0.13821  <-train
   17   0.7458    174    33.98  0.13732
   18   0.7474    176    34.38  0.13609
   19   0.7477    178    34.77  0.13291
   20   0.7506    180    35.16  0.13399
   21   0.7526    183    35.74  0.13505
   22   0.7528    186    36.33  0.13725
   23   0.7543    188    36.72  0.13501
   24   0.7556    190    37.11  0.13698
   25   0.7581    191    37.30  0.13272
   26   0.7592    193    37.70  0.12999
   27   0.7633    194    37.89  0.12864
   28   0.7649    197    38.48  0.12599
   29   0.7637    200    39.06  0.12780
   30   0.7643    202    39.45  0.12912
   31   0.7642    202    39.45  0.12989
   32   0.7670    205    40.04  0.12922
   33   0.7696    206    40.23  0.12681
   34   0.7718    207    40.43  0.12411
   35   0.7688    208    40.62  0.12162
   36   0.7696    209    40.82  0.12698
   37   0.7734    210    41.02  0.12529
   38   0.7725    212    41.41  0.12510
   39   0.7735    216    42.19  0.12975
   40   0.7738    217    42.38  0.12551
   41   0.7727    219    42.77  0.12423
   42   0.7735    220    42.97  0.12765
   43   0.7749    221    43.16  0.12662
   44   0.7760    222    43.36  0.12478
   45   0.7751    224    43.75  0.12049
   46   0.7796    224    43.75  0.12061
   47   0.7766    226    44.14  0.12399
   48   0.7758    228    44.53  0.12271
   49   0.7761    228    44.53  0.12423
   50   0.7792    228    44.53  0.12370
   51   0.7800    229    44.73  0.11950
   52   0.7839    229    44.73  0.12182
   53   0.7836    232    45.31  0.11509
   54   0.7841    233    45.51  0.11608
   55   0.7839    233    45.51  0.11687
   56   0.7845    234    45.70  0.12013
   57   0.7881    234    45.70  0.11815
   58   0.7901    234    45.70  0.12247
   59   0.7889    235    45.90  0.11871
   60   0.7887    235    45.90  0.11796
   61   0.7881    236    46.09  0.11724
   62   0.7899    237    46.29  0.11675
   63   0.7870    238    46.48  0.11875
   64   0.7873    239    46.68  0.11815
   65   0.7878    239    46.68  0.11962
   66   0.7884    239    46.68  0.11789
   67   0.7855    239    46.68  0.11497
   68   0.7850    240    46.88  0.11502
   69   0.7821    240    46.88  0.11605
   70   0.7840    240    46.88  0.11642
   71   0.7866    240    46.88  0.11470
   72   0.7847    240    46.88  0.11557
   73   0.7873    240    46.88  0.11654
   74   0.7869    240    46.88  0.11868
   75   0.7865    240    46.88  0.11957
   76   0.7887    241    47.07  0.11422
   77   0.7893    243    47.46  0.11564
   78   0.7867    243    47.46  0.11427
   79   0.7879    243    47.46  0.11511
   80   0.7873    244    47.66  0.11429
   81   0.7857    244    47.66  0.11415
   82   0.7887    244    47.66  0.11282
   83   0.7901    244    47.66  0.11147
   84   0.7876    245    47.85  0.11294
   85   0.7901    245    47.85  0.11661
   86   0.7911    246    48.05  0.11531
   87   0.7937    246    48.05  0.11085
   88   0.7946    246    48.05  0.10933
   89   0.7896    248    48.44  0.11398
   90   0.7934    248    48.44  0.11487
   91   0.7923    248    48.44  0.11413
   92   0.7938    248    48.44  0.11516
   93   0.7934    248    48.44  0.11328
   94   0.7936    248    48.44  0.11372
   95   0.7935    248    48.44  0.11323
   96   0.7930    249    48.63  0.11241
   97   0.7962    250    48.83  0.11150
   98   0.7920    251    49.02  0.11145
   99   0.7925    251    49.02  0.11352
  100   0.7956    251    49.02  0.11449
  101   0.7947    251    49.02  0.11767
  102   0.7967    252    49.22  0.11318
  103   0.7959    252    49.22  0.10875
  104   0.7973    252    49.22  0.11087
  105   0.7984    252    49.22  0.11174
  106   0.7971    252    49.22  0.11114
  107   0.7955    253    49.41  0.11051
  108   0.7968    253    49.41  0.10860
  109   0.7981    253    49.41  0.10834
  110   0.7968    254    49.61  0.10880
  111   0.7983    254    49.61  0.10928
  112   0.7978    254    49.61  0.10834
  113   0.7969    254    49.61  0.11106
  114   0.7989    253    49.41  0.11024
  115   0.7977    254    49.61  0.11261
  116   0.7960    254    49.61  0.11220
  117   0.7996    255    49.80  0.11241
  118   0.8000    256    50.00  0.10824
  119   0.7978    256    50.00  0.11005
  120   0.7967    256    50.00  0.11191
  121   0.7993    256    50.00  0.11085
  122   0.7999    256    50.00  0.10831
  123   0.8002    258    50.39  0.10810
  124   0.8004    258    50.39  0.10388
  125   0.8015    259    50.59  0.10687
  126   0.8000    260    50.78  0.10585
  127   0.8016    260    50.78  0.10380
  128   0.7982    261    50.98  0.10646

train seg16: acc 0.7438  exact 170/512 (33.20%)
best acc:    seg 127  0.8016  (+0.0578)
best exact:  seg 128  261/512 (50.98%)  (+91, +17.77%p)
