# seg_extrap  step=200000  weights=ema  segs=128  n=512  elapsed=100s
# cfg: d=832 H=8 blocks=8 layers=1 order=post stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6874     13     2.54  0.00000
    2   0.7215     14     2.73  0.14494
    3   0.7424     29     5.66  0.08133
    4   0.7578     71    13.87  0.05937
    5   0.7688    105    20.51  0.05445
    6   0.7762    119    23.24  0.05037
    7   0.7810    149    29.10  0.04933
    8   0.7854    168    32.81  0.04970
    9   0.7862    179    34.96  0.04970
   10   0.7895    185    36.13  0.05097
   11   0.7923    198    38.67  0.05642
   12   0.7957    205    40.04  0.05777
   13   0.7962    214    41.80  0.05949
   14   0.7984    223    43.55  0.06250
   15   0.7977    224    43.75  0.06800
   16   0.7996    229    44.73  0.07034  <-train
   17   0.7998    231    45.12  0.07405
   18   0.8016    234    45.70  0.07376
   19   0.8014    238    46.48  0.07289
   20   0.8058    245    47.85  0.07501
   21   0.8082    246    48.05  0.07530
   22   0.8093    248    48.44  0.07653
   23   0.8132    254    49.61  0.07656
   24   0.8162    260    50.78  0.07335
   25   0.8162    262    51.17  0.07282
   26   0.8200    266    51.95  0.07304
   27   0.8215    271    52.93  0.07190
   28   0.8236    274    53.52  0.07236
   29   0.8251    277    54.10  0.07333
   30   0.8275    277    54.10  0.07133
   31   0.8302    278    54.30  0.07342
   32   0.8318    280    54.69  0.07108
   33   0.8321    286    55.86  0.07034
   34   0.8327    290    56.64  0.06855
   35   0.8379    291    56.84  0.07038
   36   0.8390    295    57.62  0.06969
   37   0.8422    299    58.40  0.07051
   38   0.8431    300    58.59  0.06768
   39   0.8442    304    59.38  0.06638
   40   0.8475    305    59.57  0.06318
   41   0.8484    307    59.96  0.06122
   42   0.8500    313    61.13  0.05917
   43   0.8505    313    61.13  0.05912
   44   0.8526    314    61.33  0.05953
   45   0.8532    316    61.72  0.06219
   46   0.8539    316    61.72  0.06313
   47   0.8549    318    62.11  0.06202
   48   0.8537    322    62.89  0.06060
   49   0.8527    322    62.89  0.06064
   50   0.8545    322    62.89  0.06004
   51   0.8563    323    63.09  0.06245
   52   0.8577    325    63.48  0.05990
   53   0.8569    326    63.67  0.05818
   54   0.8576    328    64.06  0.05840
   55   0.8571    329    64.26  0.05862
   56   0.8591    329    64.26  0.05826
   57   0.8611    329    64.26  0.05698
   58   0.8612    329    64.26  0.05879
   59   0.8617    331    64.65  0.05886
   60   0.8635    333    65.04  0.05664
   61   0.8641    334    65.23  0.05712
   62   0.8644    334    65.23  0.05698
   63   0.8626    334    65.23  0.05703
   64   0.8621    334    65.23  0.05715
   65   0.8631    334    65.23  0.06062
   66   0.8631    336    65.62  0.05519
   67   0.8632    337    65.82  0.05584
   68   0.8640    337    65.82  0.05517
   69   0.8636    337    65.82  0.05507
   70   0.8658    338    66.02  0.05664
   71   0.8667    339    66.21  0.05572
   72   0.8678    340    66.41  0.05355
   73   0.8669    340    66.41  0.05300
   74   0.8689    341    66.60  0.05064
   75   0.8700    341    66.60  0.05083
   76   0.8699    341    66.60  0.05225
   77   0.8699    343    66.99  0.05276
   78   0.8697    344    67.19  0.05134
   79   0.8708    344    67.19  0.05276
   80   0.8710    344    67.19  0.05307
   81   0.8689    344    67.19  0.05138
   82   0.8688    345    67.38  0.05220
   83   0.8705    345    67.38  0.05505
   84   0.8705    346    67.58  0.05341
   85   0.8694    346    67.58  0.05454
   86   0.8705    346    67.58  0.05365
   87   0.8686    346    67.58  0.05372
   88   0.8695    346    67.58  0.05102
   89   0.8725    346    67.58  0.05008
   90   0.8728    346    67.58  0.05018
   91   0.8723    346    67.58  0.05097
   92   0.8710    347    67.77  0.05204
   93   0.8693    347    67.77  0.05281
   94   0.8717    348    67.97  0.05423
   95   0.8718    348    67.97  0.05498
   96   0.8715    348    67.97  0.05389
   97   0.8719    348    67.97  0.05307
   98   0.8735    348    67.97  0.05278
   99   0.8713    348    67.97  0.05285
  100   0.8726    348    67.97  0.05281
  101   0.8709    348    67.97  0.05370
  102   0.8736    348    67.97  0.05138
  103   0.8733    349    68.16  0.05126
  104   0.8741    349    68.16  0.04924
  105   0.8754    350    68.36  0.04984
  106   0.8734    350    68.36  0.05184
  107   0.8745    350    68.36  0.05341
  108   0.8762    352    68.75  0.05307
  109   0.8752    352    68.75  0.04905
  110   0.8758    352    68.75  0.05093
  111   0.8758    352    68.75  0.05102
  112   0.8754    352    68.75  0.04972
  113   0.8753    352    68.75  0.05201
  114   0.8773    353    68.95  0.05095
  115   0.8784    353    68.95  0.05061
  116   0.8769    354    69.14  0.04946
  117   0.8768    354    69.14  0.04972
  118   0.8764    354    69.14  0.05076
  119   0.8779    355    69.34  0.04938
  120   0.8767    355    69.34  0.04890
  121   0.8787    356    69.53  0.05008
  122   0.8793    356    69.53  0.05102
  123   0.8792    358    69.92  0.05360
  124   0.8784    358    69.92  0.05035
  125   0.8783    358    69.92  0.05117
  126   0.8796    359    70.12  0.04683
  127   0.8805    359    70.12  0.04721
  128   0.8825    359    70.12  0.04642

train seg16: acc 0.7996  exact 229/512 (44.73%)
best acc:    seg 128  0.8825  (+0.0829)
best exact:  seg 126  359/512 (70.12%)  (+130, +25.39%p)
