# seg_extrap  step=140000  weights=ema  segs=128  n=512  elapsed=65s
# cfg: d=832 H=8 blocks=8 layers=1 order=pre stdp=faithful/beta lam_fixed=-1.0 gain_fixed=-1.0 read=add diag=keep dist_decay=True
  seg      acc  exact   exact%    churn
    1   0.6704     10     1.95  0.00000
    2   0.7097     13     2.54  0.15994
    3   0.7313     33     6.45  0.09754
    4   0.7427     67    13.09  0.06749
    5   0.7487     94    18.36  0.05924
    6   0.7522    107    20.90  0.05401
    7   0.7560    119    23.24  0.05194
    8   0.7585    133    25.98  0.05194
    9   0.7643    145    28.32  0.05298
   10   0.7665    154    30.08  0.05652
   11   0.7684    165    32.23  0.05633
   12   0.7720    170    33.20  0.06043
   13   0.7735    178    34.77  0.06216
   14   0.7789    183    35.74  0.06399
   15   0.7809    191    37.30  0.06882
   16   0.7827    196    38.28  0.07407  <-train
   17   0.7817    200    39.06  0.07571
   18   0.7827    203    39.65  0.07846
   19   0.7823    205    40.04  0.07902
   20   0.7822    209    40.82  0.08145
   21   0.7826    213    41.60  0.08201
   22   0.7854    214    41.80  0.08483
   23   0.7879    214    41.80  0.08659
   24   0.7885    215    41.99  0.08603
   25   0.7892    219    42.77  0.08488
   26   0.7895    222    43.36  0.08497
   27   0.7928    223    43.55  0.08671
   28   0.7932    227    44.34  0.08724
   29   0.7945    229    44.73  0.08326
   30   0.7941    230    44.92  0.08331
   31   0.7966    233    45.51  0.08722
   32   0.7988    235    45.90  0.08379
   33   0.7975    237    46.29  0.08606
   34   0.7982    236    46.09  0.08685
   35   0.7986    238    46.48  0.08654
   36   0.7970    240    46.88  0.08198
   37   0.7978    243    47.46  0.08398
   38   0.8004    245    47.85  0.08524
   39   0.8027    246    48.05  0.08418
   40   0.8026    247    48.24  0.07928
   41   0.8050    249    48.63  0.08085
   42   0.8053    253    49.41  0.07902
   43   0.8066    254    49.61  0.07803
   44   0.8037    255    49.80  0.08068
   45   0.8066    255    49.80  0.08131
   46   0.8056    256    50.00  0.08150
   47   0.8084    256    50.00  0.07921
   48   0.8102    259    50.59  0.07955
   49   0.8112    260    50.78  0.07702
   50   0.8122    262    51.17  0.07759
   51   0.8137    262    51.17  0.07810
   52   0.8142    262    51.17  0.07849
   53   0.8172    264    51.56  0.07656
   54   0.8204    268    52.34  0.07588
   55   0.8227    270    52.73  0.07277
   56   0.8235    271    52.93  0.07588
   57   0.8249    275    53.71  0.07600
   58   0.8247    275    53.71  0.07453
   59   0.8222    276    53.91  0.07453
   60   0.8189    277    54.10  0.07222
   61   0.8208    278    54.30  0.07284
   62   0.8213    279    54.49  0.07321
   63   0.8233    280    54.69  0.07075
   64   0.8212    280    54.69  0.06952
   65   0.8215    281    54.88  0.07005
   66   0.8200    281    54.88  0.07169
   67   0.8222    281    54.88  0.07161
   68   0.8256    282    55.08  0.06995
   69   0.8252    283    55.27  0.06913
   70   0.8265    283    55.27  0.06966
   71   0.8272    284    55.47  0.06891
   72   0.8254    284    55.47  0.06952
   73   0.8262    284    55.47  0.07070
   74   0.8270    284    55.47  0.06961
   75   0.8268    285    55.66  0.07224
   76   0.8276    285    55.66  0.07188
   77   0.8263    286    55.86  0.07202
   78   0.8274    286    55.86  0.07075
   79   0.8290    287    56.05  0.06911
   80   0.8306    288    56.25  0.07002
   81   0.8315    288    56.25  0.06961
   82   0.8304    288    56.25  0.06942
   83   0.8294    288    56.25  0.07123
   84   0.8300    288    56.25  0.06759
   85   0.8304    288    56.25  0.07137
   86   0.8317    288    56.25  0.06913
   87   0.8322    288    56.25  0.06737
   88   0.8323    288    56.25  0.06711
   89   0.8306    289    56.45  0.06877
   90   0.8300    289    56.45  0.06682
   91   0.8300    289    56.45  0.06653
   92   0.8302    289    56.45  0.07060
   93   0.8309    289    56.45  0.06846
   94   0.8316    290    56.64  0.06848
   95   0.8331    291    56.84  0.06894
   96   0.8328    291    56.84  0.06838
   97   0.8339    291    56.84  0.07017
   98   0.8332    291    56.84  0.06985
   99   0.8335    292    57.03  0.06870
  100   0.8317    292    57.03  0.06855
  101   0.8332    292    57.03  0.06713
  102   0.8322    292    57.03  0.06561
  103   0.8306    292    57.03  0.06788
  104   0.8305    292    57.03  0.06739
  105   0.8284    292    57.03  0.06790
  106   0.8291    292    57.03  0.06858
  107   0.8273    292    57.03  0.06793
  108   0.8294    293    57.23  0.06455
  109   0.8307    293    57.23  0.06578
  110   0.8338    293    57.23  0.06527
  111   0.8351    293    57.23  0.06489
  112   0.8370    294    57.42  0.06481
  113   0.8374    294    57.42  0.06469
  114   0.8382    295    57.62  0.06600
  115   0.8394    295    57.62  0.06771
  116   0.8395    297    58.01  0.06602
  117   0.8385    297    58.01  0.06527
  118   0.8385    298    58.20  0.06419
  119   0.8382    298    58.20  0.06604
  120   0.8379    299    58.40  0.06665
  121   0.8372    300    58.59  0.06609
  122   0.8368    301    58.79  0.06604
  123   0.8379    301    58.79  0.06431
  124   0.8390    301    58.79  0.06491
  125   0.8376    301    58.79  0.06277
  126   0.8377    301    58.79  0.06667
  127   0.8391    301    58.79  0.06790
  128   0.8399    301    58.79  0.06313

train seg16: acc 0.7827  exact 196/512 (38.28%)
best acc:    seg 128  0.8399  (+0.0573)
best exact:  seg 122  301/512 (58.79%)  (+105, +20.51%p)
