# seg_extrap  step=120000  weights=ema  segs=128  n=2048  elapsed=94s
# cfg: d=832 H=8 blocks=8 layers=2 order=post stdp=addr/psi lam_fixed=1.0 gain_fixed=1.0
  seg      acc  exact   exact%    churn
    1   0.7144     52     2.54  0.00000
    2   0.7618    261    12.74  0.16763
    3   0.7840    520    25.39  0.09975
    4   0.7902    657    32.08  0.08288
    5   0.7946    736    35.94  0.08021
    6   0.7964    768    37.50  0.08330
    7   0.7989    801    39.11  0.08738
    8   0.8001    845    41.26  0.08770
    9   0.8039    869    42.43  0.08879
   10   0.8066    889    43.41  0.08996
   11   0.8062    910    44.43  0.08760
   12   0.8091    926    45.21  0.08801
   13   0.8089    938    45.80  0.08694
   14   0.8092    949    46.34  0.08642
   15   0.8122    960    46.88  0.08544
   16   0.8119    971    47.41  0.08346  <-train
   17   0.8142    983    48.00  0.08369
   18   0.8155    990    48.34  0.08203
   19   0.8169   1001    48.88  0.08100
   20   0.8164   1010    49.32  0.08161
   21   0.8188   1021    49.85  0.08114
   22   0.8198   1029    50.24  0.07944
   23   0.8190   1032    50.39  0.07902
   24   0.8206   1038    50.68  0.07858
   25   0.8211   1042    50.88  0.07787
   26   0.8218   1049    51.22  0.07617
   27   0.8224   1057    51.61  0.07743
   28   0.8233   1061    51.81  0.07647
   29   0.8228   1064    51.95  0.07628
   30   0.8235   1065    52.00  0.07641
   31   0.8244   1066    52.05  0.07558
   32   0.8244   1070    52.25  0.07548
   33   0.8255   1073    52.39  0.07567
   34   0.8252   1077    52.59  0.07468
   35   0.8254   1081    52.78  0.07559
   36   0.8258   1083    52.88  0.07586
   37   0.8250   1084    52.93  0.07569
   38   0.8259   1085    52.98  0.07622
   39   0.8264   1087    53.08  0.07509
   40   0.8260   1089    53.17  0.07388
   41   0.8263   1090    53.22  0.07392
   42   0.8258   1092    53.32  0.07483
   43   0.8265   1092    53.32  0.07465
   44   0.8259   1092    53.32  0.07298
   45   0.8268   1095    53.47  0.07160
   46   0.8271   1096    53.52  0.07351
   47   0.8280   1097    53.56  0.07344
   48   0.8283   1099    53.66  0.07142
   49   0.8285   1103    53.86  0.07205
   50   0.8287   1107    54.05  0.07252
   51   0.8292   1107    54.05  0.07177
   52   0.8291   1108    54.10  0.07237
   53   0.8292   1110    54.20  0.07249
   54   0.8299   1111    54.25  0.07277
   55   0.8293   1112    54.30  0.07273
   56   0.8308   1115    54.44  0.07201
   57   0.8303   1117    54.54  0.07126
   58   0.8294   1117    54.54  0.06931
   59   0.8299   1119    54.64  0.07002
   60   0.8308   1119    54.64  0.06985
   61   0.8307   1122    54.79  0.06958
   62   0.8311   1123    54.83  0.07054
   63   0.8317   1124    54.88  0.07028
   64   0.8316   1124    54.88  0.06948
   65   0.8317   1127    55.03  0.06896
   66   0.8315   1129    55.13  0.07098
   67   0.8320   1129    55.13  0.07040
   68   0.8331   1130    55.18  0.07031
   69   0.8325   1133    55.32  0.06937
   70   0.8320   1133    55.32  0.06898
   71   0.8328   1133    55.32  0.07081
   72   0.8337   1135    55.42  0.07067
   73   0.8325   1136    55.47  0.06899
   74   0.8337   1138    55.57  0.06960
   75   0.8348   1138    55.57  0.06912
   76   0.8337   1138    55.57  0.07002
   77   0.8333   1139    55.62  0.06909
   78   0.8335   1140    55.66  0.06941
   79   0.8332   1140    55.66  0.06794
   80   0.8355   1141    55.71  0.06939
   81   0.8344   1143    55.81  0.06910
   82   0.8340   1145    55.91  0.06882
   83   0.8350   1148    56.05  0.06814
   84   0.8352   1148    56.05  0.06773
   85   0.8349   1149    56.10  0.06753
   86   0.8350   1149    56.10  0.06786
   87   0.8359   1149    56.10  0.06907
   88   0.8349   1149    56.10  0.06723
   89   0.8357   1149    56.10  0.06767
   90   0.8367   1150    56.15  0.06883
   91   0.8355   1151    56.20  0.06835
   92   0.8366   1154    56.35  0.06705
   93   0.8362   1154    56.35  0.06745
   94   0.8366   1155    56.40  0.06876
   95   0.8350   1155    56.40  0.06666
   96   0.8365   1157    56.49  0.06654
   97   0.8361   1157    56.49  0.06773
   98   0.8375   1157    56.49  0.06720
   99   0.8365   1158    56.54  0.06697
  100   0.8372   1158    56.54  0.06722
  101   0.8370   1158    56.54  0.06716
  102   0.8365   1158    56.54  0.06700
  103   0.8377   1158    56.54  0.06844
  104   0.8366   1158    56.54  0.06774
  105   0.8369   1158    56.54  0.06809
  106   0.8368   1158    56.54  0.06633
  107   0.8366   1159    56.59  0.06688
  108   0.8363   1159    56.59  0.06783
  109   0.8360   1159    56.59  0.06700
  110   0.8366   1159    56.59  0.06756
  111   0.8369   1159    56.59  0.06712
  112   0.8370   1159    56.59  0.06726
  113   0.8361   1159    56.59  0.06790
  114   0.8372   1159    56.59  0.06613
  115   0.8364   1160    56.64  0.06695
  116   0.8367   1160    56.64  0.06785
  117   0.8366   1160    56.64  0.06783
  118   0.8365   1160    56.64  0.06697
  119   0.8376   1160    56.64  0.06520
  120   0.8371   1162    56.74  0.06642
  121   0.8361   1163    56.79  0.06717
  122   0.8378   1163    56.79  0.06891
  123   0.8373   1163    56.79  0.06840
  124   0.8375   1163    56.79  0.06816
  125   0.8370   1163    56.79  0.06763
  126   0.8377   1163    56.79  0.06703
  127   0.8367   1163    56.79  0.06672
  128   0.8377   1164    56.84  0.06749

train seg16: acc 0.8119  exact 971/2048 (47.41%)
best acc:    seg 122  0.8378  (+0.0259)
best exact:  seg 128  1164/2048 (56.84%)  (+193, +9.42%p)
