# seg_extrap  step=180000  weights=ema  segs=128  n=2048  elapsed=97s
# cfg: d=832 H=8 blocks=8 layers=2 order=post stdp=addr/psi lam_fixed=1.0 gain_fixed=1.0 read=mul diag=zero dist_decay=False
  seg      acc  exact   exact%    churn
    1   0.7198     56     2.73  0.00000
    2   0.7660    330    16.11  0.15257
    3   0.7829    546    26.66  0.07864
    4   0.7910    661    32.28  0.06098
    5   0.7970    748    36.52  0.05702
    6   0.7999    807    39.40  0.05756
    7   0.8042    873    42.63  0.06113
    8   0.8079    922    45.02  0.06442
    9   0.8098    967    47.22  0.06710
   10   0.8116    997    48.68  0.06858
   11   0.8151   1020    49.80  0.07024
   12   0.8177   1044    50.98  0.06852
   13   0.8204   1062    51.86  0.06765
   14   0.8221   1083    52.88  0.06761
   15   0.8249   1099    53.66  0.06663
   16   0.8267   1115    54.44  0.06260  <-train
   17   0.8277   1127    55.03  0.06249
   18   0.8292   1144    55.86  0.06018
   19   0.8316   1157    56.49  0.06013
   20   0.8333   1166    56.93  0.05779
   21   0.8325   1175    57.37  0.05655
   22   0.8344   1184    57.81  0.05549
   23   0.8358   1196    58.40  0.05463
   24   0.8366   1199    58.54  0.05352
   25   0.8375   1207    58.94  0.05236
   26   0.8389   1214    59.28  0.05108
   27   0.8400   1219    59.52  0.05108
   28   0.8402   1221    59.62  0.05023
   29   0.8409   1226    59.86  0.05039
   30   0.8415   1231    60.11  0.05080
   31   0.8422   1233    60.21  0.05115
   32   0.8425   1238    60.45  0.04999
   33   0.8426   1240    60.55  0.04946
   34   0.8436   1243    60.69  0.04935
   35   0.8440   1248    60.94  0.04912
   36   0.8433   1250    61.04  0.04840
   37   0.8436   1253    61.18  0.04729
   38   0.8436   1255    61.28  0.04653
   39   0.8446   1257    61.38  0.04754
   40   0.8440   1261    61.57  0.04667
   41   0.8447   1261    61.57  0.04803
   42   0.8458   1264    61.72  0.04638
   43   0.8452   1264    61.72  0.04537
   44   0.8455   1267    61.87  0.04536
   45   0.8450   1267    61.87  0.04589
   46   0.8454   1267    61.87  0.04566
   47   0.8460   1269    61.96  0.04508
   48   0.8473   1271    62.06  0.04474
   49   0.8474   1272    62.11  0.04493
   50   0.8473   1273    62.16  0.04478
   51   0.8492   1276    62.30  0.04554
   52   0.8476   1278    62.40  0.04427
   53   0.8485   1279    62.45  0.04401
   54   0.8478   1280    62.50  0.04448
   55   0.8485   1282    62.60  0.04370
   56   0.8485   1285    62.74  0.04472
   57   0.8492   1286    62.79  0.04442
   58   0.8488   1291    63.04  0.04373
   59   0.8496   1291    63.04  0.04358
   60   0.8494   1292    63.09  0.04355
   61   0.8502   1296    63.28  0.04318
   62   0.8505   1297    63.33  0.04353
   63   0.8504   1297    63.33  0.04289
   64   0.8509   1298    63.38  0.04303
   65   0.8522   1301    63.53  0.04227
   66   0.8506   1302    63.57  0.04333
   67   0.8511   1303    63.62  0.04273
   68   0.8519   1304    63.67  0.04264
   69   0.8523   1304    63.67  0.04350
   70   0.8516   1305    63.72  0.04331
   71   0.8519   1306    63.77  0.04300
   72   0.8519   1306    63.77  0.04336
   73   0.8520   1306    63.77  0.04178
   74   0.8525   1307    63.82  0.04144
   75   0.8523   1307    63.82  0.04209
   76   0.8525   1307    63.82  0.04237
   77   0.8527   1307    63.82  0.04317
   78   0.8522   1309    63.92  0.04162
   79   0.8524   1310    63.96  0.04150
   80   0.8525   1310    63.96  0.04117
   81   0.8529   1311    64.01  0.04081
   82   0.8529   1311    64.01  0.04066
   83   0.8534   1313    64.11  0.04117
   84   0.8536   1314    64.16  0.04016
   85   0.8529   1314    64.16  0.04230
   86   0.8527   1316    64.26  0.04106
   87   0.8533   1316    64.26  0.04164
   88   0.8538   1316    64.26  0.04171
   89   0.8527   1317    64.31  0.04132
   90   0.8528   1317    64.31  0.04134
   91   0.8532   1317    64.31  0.04191
   92   0.8534   1317    64.31  0.04103
   93   0.8534   1317    64.31  0.04137
   94   0.8529   1317    64.31  0.04160
   95   0.8541   1320    64.45  0.04132
   96   0.8533   1320    64.45  0.04077
   97   0.8531   1320    64.45  0.04120
   98   0.8545   1321    64.50  0.04206
   99   0.8543   1321    64.50  0.04074
  100   0.8537   1321    64.50  0.04071
  101   0.8536   1321    64.50  0.04036
  102   0.8535   1321    64.50  0.03968
  103   0.8533   1321    64.50  0.04053
  104   0.8538   1322    64.55  0.03978
  105   0.8535   1322    64.55  0.04002
  106   0.8538   1322    64.55  0.04073
  107   0.8533   1322    64.55  0.04048
  108   0.8533   1322    64.55  0.04016
  109   0.8541   1322    64.55  0.03951
  110   0.8537   1323    64.60  0.04068
  111   0.8537   1323    64.60  0.03997
  112   0.8541   1323    64.60  0.04039
  113   0.8534   1323    64.60  0.04078
  114   0.8545   1324    64.65  0.04052
  115   0.8548   1324    64.65  0.03929
  116   0.8546   1324    64.65  0.04017
  117   0.8543   1325    64.70  0.03979
  118   0.8548   1327    64.79  0.03991
  119   0.8552   1329    64.89  0.03950
  120   0.8554   1329    64.89  0.03950
  121   0.8557   1332    65.04  0.03904
  122   0.8569   1332    65.04  0.03940
  123   0.8564   1333    65.09  0.03979
  124   0.8555   1334    65.14  0.03836
  125   0.8563   1334    65.14  0.03891
  126   0.8568   1336    65.23  0.03882
  127   0.8567   1337    65.28  0.03878
  128   0.8571   1338    65.33  0.03902

train seg16: acc 0.8267  exact 1115/2048 (54.44%)
best acc:    seg 128  0.8571  (+0.0304)
best exact:  seg 128  1338/2048 (65.33%)  (+223, +10.89%p)
