step,loss,cell_acc,batch_exact
200,2.2325,0.0,0.0
400,2.0432,0.2769,0.0
600,1.9082,0.0,0.0
800,1.7609,0.363,0.0
1000,1.6843,0.0,0.0
1200,1.568,0.4771,0.0
1400,1.5293,0.0,0.0
1600,1.4438,0.4776,0.0
1800,1.445,0.0,0.0
2000,1.3711,0.4832,0.0
2200,1.4019,0.0,0.0
2400,1.2935,0.5446,0.0
2600,1.2241,0.0,0.0
2800,0.9924,0.6169,0.0
3000,0.9745,0.0,0.0
3200,0.8728,0.6431,0.0
3400,0.9142,0.0,0.0
3600,0.8352,0.6557,0.0
3800,0.8775,0.0,0.0
4000,0.8052,0.6596,0.0
4200,0.8765,0.0,0.0
4400,0.8063,0.6562,0.0
4600,0.8561,0.0,0.0
4800,0.7673,0.6731,0.0078
5000,0.8582,0.0,0.0
5200,0.7719,0.6705,0.0078
5400,0.8381,0.0,0.0
5600,0.7695,0.6758,0.0078
5800,0.8244,0.0,0.0
6000,0.796,0.6567,0.0
6200,0.8318,0.0,0.0
6400,0.764,0.671,0.0
6600,0.8255,0.0,0.0
6800,0.7626,0.6717,0.0078
7000,0.8242,0.0,0.0
7200,0.7579,0.672,0.0391
7400,0.7933,0.0,0.0
7600,0.7688,0.6694,0.0156
7800,0.8153,0.0,0.0
8000,0.7597,0.6705,0.0312
8200,0.8256,0.0,0.0
8400,0.7335,0.6825,0.0391
8600,0.8086,0.0,0.0
8800,0.7923,0.6571,0.0
9000,0.8035,0.0,0.0
9200,0.7495,0.6733,0.0234
9400,0.8259,0.0,0.0
9600,0.7381,0.6776,0.0156
9800,0.822,0.0,0.0
10000,0.7296,0.6786,0.0234
10200,0.8106,0.0,0.0
10400,0.7433,0.681,0.0312
10600,0.8234,0.0,0.0
10800,0.739,0.6659,0.0234
11000,0.7938,0.0,0.0
11200,0.749,0.6659,0.0234
11400,0.7918,0.0,0.0
11600,0.7578,0.6692,0.0156
11800,0.7868,0.0,0.0
12000,0.7345,0.6771,0.0156
12200,0.8012,0.0,0.0
12400,0.7478,0.6667,0.0234
12600,0.7889,0.0,0.0
12800,0.7045,0.6873,0.0469
13000,0.8019,0.0,0.0
13200,0.736,0.672,0.0078
13400,0.7877,0.0,0.0
13600,0.7254,0.6812,0.0156
13800,0.7736,0.0,0.0
14000,0.753,0.6682,0.0234
14200,0.7827,0.0,0.0
14400,0.7419,0.6726,0.0234
14600,0.7754,0.0,0.0
14800,0.7408,0.68,0.0
15000,0.8079,0.0,0.0
