step,loss,cell_acc,batch_exact
200,2.1789,0.0,0.0
400,1.9014,0.4937,0.0
600,1.7911,0.0,0.0
800,1.6585,0.5564,0.0
1000,1.5879,0.0,0.0
1200,1.4568,0.575,0.0
1400,1.4056,0.0,0.0
1600,1.2848,0.5865,0.0
1800,1.275,0.0,0.0
2000,1.1563,0.594,0.0
2200,1.1645,0.0,0.0
2400,1.0675,0.6055,0.0
2600,1.1017,0.0,0.0
2800,1.0103,0.6178,0.0
3000,1.0306,0.0,0.0
3200,0.927,0.646,0.0
3400,0.9832,0.0,0.0
3600,0.8678,0.6651,0.0
3800,0.9536,0.0,0.0
4000,0.8407,0.6718,0.0
4200,0.9231,0.0,0.0
4400,0.8121,0.6772,0.0
4600,0.9209,0.0,0.0
4800,0.8109,0.6733,0.0
5000,0.9062,0.0,0.0
5200,0.8121,0.6746,0.0
5400,0.9078,0.0,0.0
5600,0.7972,0.676,0.0
5800,0.8813,0.0,0.0
6000,0.7683,0.6913,0.0
6200,0.8484,0.0,0.0
6400,0.82,0.6525,0.0
6600,0.8729,0.0,0.0
6800,0.7763,0.6814,0.0
7000,0.8747,0.0,0.0
7200,0.7684,0.681,0.0
7400,0.8606,0.0,0.0
7600,0.7348,0.7097,0.0
7800,0.8774,0.0,0.0
8000,0.7545,0.6922,0.0
8200,0.8633,0.0,0.0
8400,0.7445,0.6914,0.0
8600,0.8379,0.0,0.0
8800,0.7703,0.6783,0.0
9000,0.8336,0.0,0.0
9200,0.7731,0.6792,0.0
9400,0.8514,0.0,0.0
