step,loss,cell_acc,batch_exact
200,2.2001,0.0,0.0
400,1.9361,0.4789,0.0
600,1.7929,0.0,0.0
800,1.6494,0.5689,0.0
1000,1.5463,0.0,0.0
1200,1.374,0.6496,0.0
1400,1.3036,0.0,0.0
1600,1.1596,0.6636,0.0
1800,1.1438,0.0,0.0
2000,0.9945,0.679,0.0
2200,1.0475,0.0,0.0
2400,0.9195,0.6713,0.0
2600,0.9683,0.0,0.0
2800,0.8592,0.6825,0.0
3000,0.9252,0.0,0.0
3200,0.8374,0.674,0.0
3400,0.9128,0.0,0.0
3600,0.8167,0.668,0.0
3800,0.9077,0.0,0.0
4000,0.7829,0.6721,0.0
4200,0.8977,0.0,0.0
4400,0.7759,0.6802,0.0
4600,0.8604,0.0,0.0
4800,0.7651,0.6747,0.0
5000,0.8617,0.0,0.0
5200,0.7715,0.6785,0.0
5400,0.8593,0.0,0.0
5600,0.7531,0.6781,0.0
5800,0.8494,0.0,0.0
6000,0.7488,0.6801,0.0
6200,0.8039,0.0,0.0
