step,loss,cell_acc,batch_exact
400,1.9683,0.4694,0.0
800,1.7158,0.5276,0.0
1200,1.5124,0.5598,0.0
1600,1.3169,0.5971,0.0
2000,1.1671,0.6187,0.0
2400,1.0495,0.6425,0.0
2800,0.9581,0.6666,0.0
3200,0.8852,0.6901,0.0
3600,0.8551,0.6914,0.0
4000,0.7475,0.7441,0.0156
4400,0.7143,0.7574,0.0234
4800,0.7091,0.7502,0.0156
5200,0.7477,0.7287,0.0
5600,0.7204,0.7423,0.0078
6000,0.596,0.8084,0.0625
6400,0.6233,0.7864,0.0234
6800,0.6872,0.7486,0.0234
7200,0.65,0.7687,0.0
7600,0.7295,0.7242,0.0391
8000,0.7615,0.7112,0.0156
8400,0.6024,0.7852,0.0703
8800,0.6952,0.7475,0.0156
9200,0.6235,0.779,0.0625
9600,0.7854,0.6935,0.0312
10000,0.6904,0.7395,0.0234
10400,0.6572,0.759,0.0703
10800,0.7232,0.7329,0.0234
11200,0.6483,0.7823,0.1953
11600,0.6927,0.7442,0.0469
12000,0.607,0.774,0.1953
12400,0.5953,0.7778,0.2031
12800,0.6789,0.7514,0.0547
13200,0.6972,0.7258,0.0312
13600,0.6151,0.7724,0.1641
14000,0.603,0.7731,0.1719
14400,0.6974,0.7302,0.0859
14800,0.5965,0.7767,0.1875
15200,0.6174,0.7728,0.1562
15600,0.6489,0.7577,0.1094
16000,0.5986,0.7775,0.125
16400,0.6719,0.7459,0.0859
16800,0.617,0.765,0.1719
17200,0.6038,0.775,0.1562
17600,0.7401,0.712,0.0234
18000,0.603,0.7793,0.125
18400,0.6278,0.7657,0.1719
18800,0.5742,0.7895,0.1797
19200,0.6809,0.7387,0.0859
19600,0.6346,0.7684,0.1016
20000,0.6285,0.7617,0.1172
20400,0.5818,0.7809,0.1875
20800,0.5847,0.7772,0.1875
21200,0.6027,0.7722,0.1562
21600,0.6302,0.7595,0.1641
22000,0.5997,0.7677,0.1875
22400,0.5921,0.776,0.1953
22800,0.6076,0.7655,0.1719
23200,0.6232,0.7568,0.1641
23600,0.5572,0.7925,0.2109
24000,0.6199,0.7645,0.1406
24400,0.5922,0.777,0.1719
24800,0.5448,0.7986,0.25
25200,0.5895,0.7829,0.1484
25600,0.6164,0.7675,0.1406
26000,0.5631,0.787,0.2031
26400,0.6182,0.7636,0.1484
26800,0.6617,0.7462,0.1016
27200,0.551,0.7975,0.2031
27600,0.5433,0.8045,0.2031
28000,0.5852,0.7876,0.1328
28400,0.5918,0.7784,0.1406
28800,0.5147,0.8084,0.2422
29200,0.6469,0.7479,0.1094
29600,0.5562,0.7953,0.2031
30000,0.5702,0.7866,0.1875
30400,0.6866,0.7425,0.0859
30800,0.6594,0.7438,0.1172
31200,0.5588,0.7877,0.1875
31600,0.5579,0.7945,0.1875
32000,0.5346,0.7958,0.2656
32400,0.6331,0.7636,0.0859
32800,0.6585,0.748,0.0859
33200,0.6421,0.7533,0.1406
33600,0.5747,0.7972,0.2109
34000,0.5401,0.7959,0.2422
34400,0.4952,0.8215,0.2812
34800,0.5403,0.8086,0.1875
35200,0.5385,0.8027,0.1953
35600,0.5047,0.8144,0.2422
36000,0.5946,0.7794,0.1484
36400,0.6348,0.7503,0.1328
36800,0.569,0.8006,0.1484
37200,0.4992,0.8241,0.3438
37600,0.546,0.8046,0.1875
38000,0.6075,0.7691,0.125
38400,0.4799,0.8315,0.2656
38800,0.5,0.8203,0.3281
39200,0.4884,0.825,0.2656
39600,0.5723,0.7889,0.1875
40000,0.4736,0.8296,0.3359
40400,0.4881,0.8331,0.2734
40800,0.4858,0.8219,0.3359
41200,0.4678,0.8302,0.2891
41600,0.6011,0.7679,0.1719
42000,0.5176,0.8174,0.2734
42400,0.4973,0.8368,0.2266
42800,0.497,0.8133,0.2578
43200,0.4672,0.8357,0.3516
43600,0.4682,0.8364,0.2969
44000,0.5149,0.8134,0.25
44400,0.5097,0.8168,0.25
44800,0.5132,0.8208,0.2031
45200,0.4235,0.8525,0.4141
45600,0.5465,0.8038,0.1797
46000,0.4727,0.8311,0.2422
46400,0.524,0.8055,0.2344
46800,0.5147,0.8274,0.2578
47200,0.5534,0.7959,0.2109
