step,lm_loss,acc
200,2.2780,0.0000
400,2.0996,0.3913
600,1.9514,0.0000
800,1.8525,0.4545
1000,1.7540,0.0000
1200,1.6339,0.4823
1400,1.5418,0.0000
1600,1.4418,0.5145
1800,1.3881,0.0000
2000,1.2668,0.5596
2200,1.2567,0.0000
2400,1.1593,0.5687
2600,1.1835,0.0000
2800,1.0944,0.5799
3000,1.1290,0.0000
3200,1.0642,0.5885
3400,1.0997,0.0000
3600,1.0339,0.5967
3800,1.0820,0.0000
4000,1.0040,0.6019
4200,1.0498,0.0000
4400,0.9806,0.6084
4600,1.0498,0.0000
4800,0.9662,0.6104
5000,1.0232,0.0000
5200,0.9478,0.6199
5400,1.0252,0.0000
5600,0.9611,0.6160
5800,1.0061,0.0000
6000,0.9189,0.6300
6200,0.9604,0.0000
6400,0.9088,0.6351
6600,0.9761,0.0000
6800,0.8872,0.6440
7000,0.9696,0.0000
7200,0.8858,0.6444
7400,0.9398,0.0000
7600,0.8427,0.6677
7800,0.9532,0.0000
8000,0.8507,0.6624
8200,0.9395,0.0000
8400,0.8176,0.6753
8600,0.9034,0.0000
8800,0.8190,0.6707
9000,0.8990,0.0000
9200,0.8426,0.6570
9400,0.8992,0.0000
9600,0.8057,0.6711
9800,0.9059,0.0000
10000,0.8345,0.6652
10200,0.8827,0.0000
10400,0.7950,0.6853
10600,0.8730,0.0000
10800,0.7907,0.6816
11000,0.8856,0.0000
11200,0.7827,0.6904
11400,0.8621,0.0000
11600,0.7816,0.6878
11800,0.8680,0.0000
12000,0.7520,0.7008
12200,0.8531,0.0000
12400,0.7355,0.7115
12600,0.8554,0.0000
12800,0.7755,0.6883
13000,0.8514,0.0000
13200,0.7220,0.7133
13400,0.8492,0.0000
13600,0.7403,0.7057
13800,0.8368,0.0000
14000,0.7279,0.7205
14200,0.8323,0.0000
14400,0.7268,0.7067
14600,0.8579,0.0000
14800,0.6989,0.7264
15000,0.8591,0.0000
15200,0.7289,0.7179
15400,0.8341,0.0000
15600,0.7555,0.7030
15800,0.8222,0.0000
16000,0.7219,0.7210
16200,0.7975,0.0000
16400,0.7351,0.7082
16600,0.7813,0.0000
16800,0.7909,0.6794
17000,0.8014,0.0000
17200,0.7359,0.7139
