step,lm_loss,acc
200,2.2769,0.0000
400,2.0965,0.3920
600,1.9466,0.0000
800,1.8535,0.4543
1000,1.7531,0.0000
1200,1.6327,0.4790
1400,1.5462,0.0000
1600,1.4377,0.5209
1800,1.3860,0.0000
2000,1.2609,0.5610
2200,1.2608,0.0000
2400,1.1525,0.5768
2600,1.1775,0.0000
2800,1.1028,0.5823
3000,1.1208,0.0000
3200,1.0652,0.5886
3400,1.1014,0.0000
3600,1.0302,0.5928
3800,1.0786,0.0000
4000,0.9988,0.6066
4200,1.0522,0.0000
4400,0.9915,0.6010
4600,1.0543,0.0000
4800,0.9792,0.6027
5000,1.0264,0.0000
5200,0.9533,0.6153
5400,1.0312,0.0000
5600,0.9730,0.6057
5800,1.0097,0.0000
6000,0.9223,0.6246
6200,0.9595,0.0000
6400,0.9218,0.6253
6600,0.9793,0.0000
6800,0.9006,0.6350
7000,0.9850,0.0000
7200,0.8911,0.6333
7400,0.9452,0.0000
7600,0.8600,0.6573
7800,0.9553,0.0000
8000,0.8536,0.6524
8200,0.9536,0.0000
8400,0.8369,0.6664
8600,0.9185,0.0000
8800,0.8449,0.6604
9000,0.9041,0.0000
9200,0.8605,0.6486
9400,0.9057,0.0000
9600,0.8218,0.6672
9800,0.9080,0.0000
10000,0.8412,0.6644
10200,0.8826,0.0000
10400,0.7724,0.6956
10600,0.8694,0.0000
10800,0.8091,0.6723
11000,0.8953,0.0000
11200,0.7823,0.6884
11400,0.8700,0.0000
11600,0.8028,0.6781
11800,0.8848,0.0000
12000,0.7566,0.6922
12200,0.8534,0.0000
12400,0.7331,0.7070
12600,0.8698,0.0000
12800,0.7745,0.6856
13000,0.8649,0.0000
13200,0.7423,0.7015
13400,0.8606,0.0000
13600,0.7490,0.6984
13800,0.8605,0.0000
14000,0.7399,0.7041
14200,0.8389,0.0000
14400,0.7309,0.7069
14600,0.8654,0.0000
14800,0.7268,0.7120
15000,0.8673,0.0000
15200,0.7435,0.7074
15400,0.8697,0.0000
15600,0.7323,0.7092
15800,0.8593,0.0000
16000,0.7215,0.7164
16200,0.8234,0.0000
16400,0.7521,0.6970
16600,0.8301,0.0000
16800,0.7164,0.7249
17000,0.8405,0.0000
17200,0.7422,0.7015
17400,0.8238,0.0000
17600,0.7248,0.7090
17800,0.8154,0.0000
18000,0.7777,0.6889
18200,0.8408,0.0000
18400,0.6994,0.7221
18600,0.8551,0.0000
18800,0.7269,0.7159
19000,0.8303,0.0000
19200,0.7273,0.7143
19400,0.7838,0.0000
19600,0.7139,0.7206
19800,0.8470,0.0000
20000,0.7695,0.6843
20200,0.8094,0.0000
20400,0.7165,0.7180
20600,0.8042,0.0000
20800,0.7084,0.7187
21000,0.8211,0.0000
21200,0.6954,0.7215
21400,0.8241,0.0000
21600,0.7009,0.7271
21800,0.8062,0.0000
22000,0.7437,0.7097
22200,0.8426,0.0000
22400,0.6890,0.7241
22600,0.8073,0.0000
22800,0.7114,0.7229
23000,0.8204,0.0000
23200,0.6824,0.7348
23400,0.8081,0.0000
23600,0.7594,0.6978
23800,0.8046,0.0000
24000,0.6795,0.7315
24200,0.8085,0.0000
24400,0.7133,0.7154
24600,0.8191,0.0000
24800,0.6749,0.7241
25000,0.8127,0.0000
25200,0.6700,0.7361
25400,0.7929,0.0000
25600,0.7455,0.7055
25800,0.8014,0.0000
26000,0.6584,0.7505
26200,0.8054,0.0000
26400,0.6677,0.7390
26600,0.7649,0.0000
26800,0.7035,0.7267
27000,0.7646,0.0000
27200,0.6549,0.7462
27400,0.7662,0.0000
27600,0.6451,0.7459
27800,0.8095,0.0000
28000,0.7069,0.7153
28200,0.7812,0.0000
28400,0.6975,0.7282
28600,0.8106,0.0000
28800,0.7107,0.7285
29000,0.7600,0.0000
29200,0.7295,0.7192
29400,0.7442,0.0000
29600,0.6187,0.7625
29800,0.7943,0.0000
30000,0.6481,0.7479
30200,0.7276,0.0000
30400,0.6509,0.7542
30600,0.7691,0.0000
30800,0.6107,0.7760
31000,0.7622,0.0000
31200,0.7035,0.7363
31400,0.7972,0.0000
31600,0.5930,0.7806
31800,0.7543,0.0000
32000,0.7357,0.7140
32200,0.7906,0.0000
32400,0.6110,0.7679
32600,0.7607,0.0000
32800,0.5886,0.7889
33000,0.7630,0.0000
33200,0.6453,0.7525
33400,0.8737,0.0000
33600,0.6895,0.7284
33800,0.8279,0.0000
34000,0.5524,0.7932
34200,0.7731,0.0000
34400,0.8300,0.6576
34600,0.7708,0.0000
34800,0.6159,0.7659
35000,0.7417,0.0000
35200,0.6116,0.7651
35400,0.7732,0.0000
35600,0.6073,0.7679
35800,0.6985,0.0000
36000,0.6100,0.7619
36200,0.7452,0.0000
36400,0.5852,0.7772
36600,0.7512,0.0000
36800,0.7072,0.7266
37000,0.7878,0.0000
37200,0.5945,0.7751
37400,0.7797,0.0000
37600,0.6795,0.7423
37800,0.7624,0.0000
38000,0.5361,0.7981
38200,0.9043,0.0000
38400,0.5904,0.7723
38600,0.7709,0.0000
38800,0.6373,0.7699
39000,0.7341,0.0000
39200,0.6452,0.7556
39400,0.7448,0.0000
39600,0.5989,0.7701
39800,0.7453,0.0000
40000,0.7275,0.7188
40200,0.7330,0.0000
40400,0.6514,0.7436
40600,0.7434,0.0000
40800,0.6194,0.7612
41000,0.9140,0.0000
41200,0.6570,0.7411
41400,0.7636,0.0000
41600,0.6434,0.7646
