step,lm_loss,acc
200,2.2682,0.0000
400,2.1246,0.3955
600,2.0411,0.0000
800,1.9707,0.4024
1000,1.9026,0.0000
1200,1.8250,0.4185
1400,1.7308,0.0000
1600,1.6531,0.4596
1800,1.5762,0.0000
2000,1.4961,0.4779
2200,1.4401,0.0000
2400,1.3654,0.4985
2600,1.3526,0.0000
2800,1.2851,0.5143
3000,1.2816,0.0000
3200,1.2227,0.5335
3400,1.2305,0.0000
3600,1.1906,0.5319
3800,1.2488,0.0000
4000,1.1626,0.5362
4200,1.1505,0.0000
4400,1.1036,0.5630
4600,1.1381,0.0000
4800,1.0978,0.5578
5000,1.1302,0.0000
5200,1.1007,0.5559
5400,1.1292,0.0000
5600,1.0875,0.5609
5800,1.1341,0.0000
6000,1.0446,0.5772
6200,1.0498,0.0000
6400,1.0415,0.5837
6600,1.0667,0.0000
6800,1.0197,0.5839
7000,1.0629,0.0000
7200,1.0202,0.5814
7400,1.0337,0.0000
7600,0.9982,0.5911
7800,1.0381,0.0000
8000,0.9929,0.5897
8200,1.0304,0.0000
8400,0.9784,0.5982
8600,0.9973,0.0000
8800,0.9760,0.5965
9000,1.0813,0.0000
9200,0.9795,0.5916
9400,1.0054,0.0000
9600,0.9541,0.6077
9800,1.0008,0.0000
10000,0.9535,0.6068
10200,0.9740,0.0000
