step,lm_loss,acc
200,2.2777,0.0000
400,2.0976,0.3946
600,1.9490,0.0000
800,1.8491,0.4570
1000,1.7515,0.0000
1200,1.6323,0.4851
1400,1.5398,0.0000
1600,1.4319,0.5251
1800,1.3845,0.0000
2000,1.2579,0.5682
2200,1.2584,0.0000
2400,1.1482,0.5851
2600,1.1773,0.0000
2800,1.0950,0.5809
3000,1.1272,0.0000
3200,1.0612,0.5917
3400,1.0983,0.0000
3600,1.0246,0.5980
3800,1.0762,0.0000
4000,0.9962,0.6126
4200,1.0460,0.0000
4400,0.9629,0.6204
4600,1.0463,0.0000
4800,0.9635,0.6182
5000,1.0234,0.0000
5200,0.9332,0.6285
5400,1.0221,0.0000
5600,0.9331,0.6288
5800,1.0101,0.0000
6000,0.9100,0.6363
6200,0.9675,0.0000
6400,0.8969,0.6444
6600,0.9738,0.0000
6800,0.8900,0.6432
7000,0.9722,0.0000
7200,0.8762,0.6501
7400,0.9251,0.0000
7600,0.8374,0.6686
7800,0.9469,0.0000
8000,0.8374,0.6670
8200,0.9407,0.0000
8400,0.8005,0.6810
8600,0.9059,0.0000
8800,0.8226,0.6710
9000,0.8795,0.0000
9200,0.8491,0.6561
9400,0.8901,0.0000
9600,0.8122,0.6753
9800,0.8852,0.0000
10000,0.8155,0.6742
10200,0.8717,0.0000
10400,0.7706,0.6944
10600,0.8745,0.0000
10800,0.7885,0.6886
11000,0.8819,0.0000
11200,0.7480,0.7109
11400,0.8622,0.0000
11600,0.7783,0.6832
11800,0.8752,0.0000
12000,0.7623,0.6984
12200,0.8543,0.0000
12400,0.7010,0.7291
12600,0.8884,0.0000
12800,0.8055,0.6772
13000,0.8574,0.0000
13200,0.7336,0.7121
13400,0.8532,0.0000
13600,0.7532,0.7028
13800,0.8501,0.0000
14000,0.7243,0.7139
14200,0.8379,0.0000
14400,0.7410,0.7093
14600,0.8558,0.0000
14800,0.6878,0.7320
15000,0.8501,0.0000
15200,0.7095,0.7316
15400,0.8499,0.0000
15600,0.7354,0.7124
15800,0.8492,0.0000
16000,0.7124,0.7269
16200,0.8147,0.0000
16400,0.7290,0.7083
16600,0.8077,0.0000
16800,0.7163,0.7224
17000,0.8309,0.0000
17200,0.7392,0.7172
17400,0.8117,0.0000
17600,0.6853,0.7325
17800,0.8042,0.0000
18000,0.7123,0.7239
18200,0.8283,0.0000
18400,0.6713,0.7423
18600,0.8254,0.0000
18800,0.6979,0.7307
19000,0.8113,0.0000
19200,0.6974,0.7323
19400,0.7807,0.0000
19600,0.7000,0.7297
19800,0.8206,0.0000
20000,0.6987,0.7214
20200,0.8033,0.0000
20400,0.7349,0.7166
20600,0.7931,0.0000
20800,0.7038,0.7265
21000,0.7910,0.0000
21200,0.6871,0.7321
21400,0.8276,0.0000
21600,0.6529,0.7546
21800,0.7895,0.0000
22000,0.7029,0.7308
22200,0.8192,0.0000
22400,0.6540,0.7541
22600,0.7676,0.0000
22800,0.7158,0.7177
23000,0.7968,0.0000
23200,0.6805,0.7387
23400,0.8157,0.0000
23600,0.7069,0.7263
23800,0.7751,0.0000
24000,0.6521,0.7497
24200,0.7980,0.0000
24400,0.6890,0.7417
24600,0.8491,0.0000
24800,0.6566,0.7490
25000,0.7882,0.0000
25200,0.6719,0.7467
25400,0.7690,0.0000
