step,lm_loss,acc
200,2.2607,0.0000
400,2.0614,0.4233
600,1.9044,0.0000
800,1.8087,0.4651
1000,1.7220,0.0000
1200,1.6149,0.4879
1400,1.5279,0.0000
1600,1.4080,0.5370
1800,1.3855,0.0000
2000,1.2535,0.5762
2200,1.2653,0.0000
2400,1.1525,0.5869
2600,1.1929,0.0000
2800,1.0964,0.5956
3000,1.1445,0.0000
3200,1.0498,0.6053
3400,1.1202,0.0000
3600,1.0296,0.6112
3800,1.0895,0.0000
4000,0.9902,0.6189
4200,1.0637,0.0000
4400,0.9553,0.6355
4600,1.0637,0.0000
4800,0.9688,0.6272
5000,1.0328,0.0000
5200,0.9498,0.6343
5400,1.0255,0.0000
5600,0.9163,0.6486
5800,1.0102,0.0000
6000,0.9089,0.6462
6200,0.9551,0.0000
6400,0.8703,0.6598
6600,0.9399,0.0000
6800,0.8431,0.6782
7000,0.9101,0.0000
7200,0.7663,0.7169
7400,0.8673,0.0000
7600,0.7719,0.7101
7800,0.8649,0.0000
8000,0.7376,0.7246
8200,0.8363,0.0000
8400,0.6991,0.7409
8600,0.8019,0.0000
8800,0.6804,0.7504
9000,0.8103,0.0000
9200,0.6993,0.7386
9400,0.8089,0.0000
9600,0.7122,0.7318
9800,0.8176,0.0000
