step,lm_loss,acc
200,2.3159,0.0000
400,2.1327,0.4035
600,1.9388,0.0000
800,1.7810,0.4948
1000,1.6813,0.0000
1200,1.5549,0.5292
1400,1.4781,0.0000
1600,1.3630,0.5510
1800,1.3282,0.0000
2000,1.1976,0.5846
2200,1.2109,0.0000
2400,1.0920,0.6018
2600,1.1086,0.0000
2800,1.0325,0.6147
3000,1.0747,0.0000
3200,0.9802,0.6285
3400,1.0340,0.0000
3600,0.9143,0.6517
3800,0.9830,0.0000
4000,0.8525,0.6839
4200,0.9302,0.0000
4400,0.8121,0.7003
4600,0.8912,0.0000
4800,0.7700,0.7141
5000,0.8811,0.0000
5200,0.7615,0.7164
5400,0.8617,0.0000
5600,0.7762,0.7054
5800,0.8344,0.0000
6000,0.6698,0.7613
6200,0.7890,0.0000
6400,0.6973,0.7480
6600,0.7974,0.0000
6800,0.7173,0.7358
7000,0.8151,0.0000
7200,0.6862,0.7434
7400,0.7824,0.0000
7600,0.6918,0.7473
7800,0.8095,0.0000
8000,0.7001,0.7418
8200,0.7879,0.0000
8400,0.6623,0.7579
8600,0.7567,0.0000
8800,0.6420,0.7740
9000,0.7574,0.0000
9200,0.6581,0.7654
9400,0.7613,0.0000
9600,0.6655,0.7562
9800,0.7701,0.0000
10000,0.6129,0.7771
10200,0.7326,0.0000
