step,lm_loss,acc
200,2.3028,0.0000
400,2.0871,0.3954
600,1.9537,0.0000
800,1.8135,0.4610
1000,1.7046,0.0000
1200,1.5985,0.4908
1400,1.5289,0.0000
1600,1.4348,0.5133
1800,1.4055,0.0000
2000,1.3153,0.5198
2200,1.2956,0.0000
2400,1.2232,0.5332
2600,1.2197,0.0000
2800,1.1570,0.5451
3000,1.1684,0.0000
3200,1.1279,0.5487
3400,1.1303,0.0000
3600,1.0784,0.5720
3800,1.1021,0.0000
4000,1.0363,0.5903
4200,1.0619,0.0000
4400,0.9972,0.5994
4600,1.0397,0.0000
4800,0.9808,0.6083
5000,1.0226,0.0000
5200,0.9405,0.6245
5400,1.0042,0.0000
5600,0.9554,0.6140
5800,0.9730,0.0000
6000,0.8920,0.6342
6200,0.9324,0.0000
6400,0.8953,0.6331
6600,0.9508,0.0000
6800,0.8802,0.6378
7000,0.9346,0.0000
7200,0.8602,0.6481
7400,0.9130,0.0000
7600,0.8078,0.6792
7800,0.9179,0.0000
8000,0.8145,0.6707
8200,0.9000,0.0000
8400,0.8187,0.6671
8600,0.8612,0.0000
8800,0.8170,0.6697
9000,0.8688,0.0000
9200,0.8005,0.6730
9400,0.8718,0.0000
9600,0.7865,0.6839
9800,0.8497,0.0000
10000,0.7617,0.6919
10200,0.8492,0.0000
10400,0.7281,0.7061
10600,0.8524,0.0000
10800,0.7262,0.7104
11000,0.8386,0.0000
11200,0.7438,0.7022
11400,0.8475,0.0000
11600,0.7751,0.6897
11800,0.8478,0.0000
12000,0.7565,0.6991
12200,0.8062,0.0000
12400,0.7149,0.7239
