step,lm_loss,acc
200,2.2706,0.0000
400,2.0682,0.4223
600,1.9001,0.0000
800,1.7732,0.5039
1000,1.6885,0.0000
1200,1.5392,0.5567
1400,1.4715,0.0000
1600,1.3435,0.5806
1800,1.3337,0.0000
2000,1.2008,0.6038
2200,1.2165,0.0000
2400,1.0955,0.6119
2600,1.1316,0.0000
2800,1.0246,0.6223
3000,1.0783,0.0000
3200,0.9794,0.6370
3400,1.0286,0.0000
3600,0.9371,0.6523
3800,1.0610,0.0000
4000,0.8646,0.6814
4200,0.9400,0.0000
4400,0.8191,0.7016
4600,0.8923,0.0000
4800,0.7786,0.7106
5000,0.8653,0.0000
5200,0.7786,0.7099
5400,0.8774,0.0000
5600,0.7399,0.7333
5800,0.8388,0.0000
6000,0.7106,0.7445
6200,0.7987,0.0000
6400,0.6949,0.7494
6600,0.8192,0.0000
6800,0.7677,0.7063
7000,0.8169,0.0000
7200,0.6757,0.7491
7400,0.7772,0.0000
7600,0.7008,0.7466
7800,0.8077,0.0000
