step,loss,cell_acc,batch_exact
200,2.2161,0.0,0.0
400,1.9676,0.4676,0.0
600,1.8306,0.0,0.0
800,1.6995,0.5428,0.0
1000,1.6259,0.0,0.0
1200,1.498,0.5721,0.0
1400,1.4422,0.0,0.0
1600,1.3118,0.5919,0.0
1800,1.2855,0.0,0.0
2000,1.1514,0.6213,0.0
2200,1.1691,0.0,0.0
2400,1.0378,0.6395,0.0
2600,1.065,0.0,0.0
2800,0.898,0.6885,0.0
3000,0.9708,0.0,0.0
3200,0.8442,0.706,0.0
3400,0.9122,0.0,0.0
3600,0.7937,0.7173,0.0156
3800,0.8768,0.0,0.0
4000,0.7978,0.7152,0.0
4200,0.858,0.0,0.0
4400,0.7217,0.7404,0.0
4600,0.8405,0.0,0.0
4800,0.7115,0.7472,0.0234
5000,0.8357,0.0,0.0
5200,0.6762,0.7611,0.0234
5400,0.7969,0.0,0.0
5600,0.6913,0.7564,0.0
5800,0.7942,0.0,0.0
6000,0.619,0.7832,0.0312
6200,0.7594,0.0,0.0
6400,0.795,0.702,0.0
6600,0.7697,0.0,0.0
6800,0.6361,0.7805,0.0312
7000,0.7823,0.0,0.0
7200,0.7353,0.7217,0.0469
7400,0.7252,0.0,0.0
7600,0.7491,0.7203,0.0234
7800,0.7632,0.0,0.0
8000,0.6902,0.7484,0.0312
8200,0.7987,0.0,0.0
8400,0.6976,0.7454,0.0469
8600,0.7672,0.0,0.0
8800,0.6428,0.7689,0.0781
9000,0.7512,0.0,0.0
9200,0.6082,0.7852,0.1719
9400,0.8088,0.0,0.0
9600,0.7521,0.708,0.0078
9800,0.7932,0.0,0.0
10000,0.5656,0.7976,0.1484
