step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  δ=0.0903  G=0.7118
  batch 1/8  43s
  batch 2/8  87s
  batch 3/8  131s
  batch 4/8  174s
  batch 5/8  218s
  batch 6/8  262s
  batch 7/8  306s
  batch 8/8  350s

  seg |     acc  exact  exact% |     Δacc |   churn
    1 |  0.6912     50   2.44% |  -0.1389 |  0.0000
    2 |  0.7406     60   2.93% |  -0.0895 |  0.1716
    3 |  0.7697    233  11.38% |  -0.0604 |  0.0970
    4 |  0.7857    447  21.83% |  -0.0443 |  0.0692
    5 |  0.7958    587  28.66% |  -0.0342 |  0.0555
    6 |  0.8030    691  33.74% |  -0.0270 |  0.0504
    7 |  0.8083    754  36.82% |  -0.0217 |  0.0517
    8 |  0.8123    804  39.26% |  -0.0178 |  0.0511
    9 |  0.8168    861  42.04% |  -0.0132 |  0.0525
   10 |  0.8196    898  43.85% |  -0.0105 |  0.0541
   11 |  0.8220    931  45.46% |  -0.0081 |  0.0579
   12 |  0.8236    959  46.83% |  -0.0064 |  0.0614
   13 |  0.8266    980  47.85% |  -0.0034 |  0.0635
   14 |  0.8279   1006  49.12% |  -0.0022 |  0.0681
   15 |  0.8284   1023  49.95% |  -0.0017 |  0.0680
   16 |  0.8301   1043  50.93% |  +0.0000 |  0.0695 ←학습
   17 |  0.8323   1058  51.66% |  +0.0022 |  0.0686
   18 |  0.8328   1070  52.25% |  +0.0028 |  0.0684
   19 |  0.8342   1089  53.17% |  +0.0042 |  0.0682
   20 |  0.8354   1099  53.66% |  +0.0054 |  0.0673
   21 |  0.8364   1113  54.35% |  +0.0063 |  0.0666
   22 |  0.8379   1120  54.69% |  +0.0078 |  0.0663
   23 |  0.8398   1131  55.22% |  +0.0097 |  0.0659
   24 |  0.8414   1147  56.01% |  +0.0113 |  0.0657
   25 |  0.8434   1160  56.64% |  +0.0133 |  0.0640
   26 |  0.8443   1174  57.32% |  +0.0142 |  0.0621
   27 |  0.8458   1183  57.76% |  +0.0157 |  0.0607
   28 |  0.8470   1198  58.50% |  +0.0169 |  0.0607
   29 |  0.8475   1208  58.98% |  +0.0175 |  0.0589
   30 |  0.8482   1222  59.67% |  +0.0181 |  0.0584
   31 |  0.8486   1226  59.86% |  +0.0186 |  0.0566
   32 |  0.8505   1234  60.25% |  +0.0204 |  0.0560
   33 |  0.8513   1247  60.89% |  +0.0212 |  0.0543
   34 |  0.8528   1259  61.47% |  +0.0228 |  0.0537
   35 |  0.8548   1264  61.72% |  +0.0247 |  0.0534
   36 |  0.8560   1274  62.21% |  +0.0259 |  0.0530
   37 |  0.8573   1286  62.79% |  +0.0272 |  0.0525
   38 |  0.8573   1297  63.33% |  +0.0273 |  0.0504
   39 |  0.8575   1303  63.62% |  +0.0275 |  0.0496
   40 |  0.8593   1309  63.92% |  +0.0292 |  0.0484
   41 |  0.8609   1317  64.31% |  +0.0308 |  0.0482
   42 |  0.8615   1326  64.75% |  +0.0314 |  0.0470
   43 |  0.8644   1340  65.43% |  +0.0343 |  0.0460
   44 |  0.8669   1352  66.02% |  +0.0368 |  0.0448
   45 |  0.8683   1363  66.55% |  +0.0383 |  0.0442
   46 |  0.8692   1378  67.29% |  +0.0391 |  0.0433
   47 |  0.8702   1385  67.63% |  +0.0401 |  0.0407
   48 |  0.8703   1393  68.02% |  +0.0403 |  0.0382
   49 |  0.8706   1396  68.16% |  +0.0405 |  0.0382
   50 |  0.8704   1404  68.55% |  +0.0403 |  0.0386
   51 |  0.8711   1406  68.65% |  +0.0411 |  0.0374
   52 |  0.8716   1411  68.90% |  +0.0415 |  0.0359
   53 |  0.8726   1413  68.99% |  +0.0425 |  0.0357
   54 |  0.8733   1423  69.48% |  +0.0432 |  0.0356
   55 |  0.8732   1425  69.58% |  +0.0431 |  0.0357
   56 |  0.8739   1432  69.92% |  +0.0439 |  0.0338
   57 |  0.8747   1435  70.07% |  +0.0446 |  0.0327
   58 |  0.8747   1438  70.21% |  +0.0446 |  0.0326
   59 |  0.8746   1442  70.41% |  +0.0445 |  0.0328
   60 |  0.8746   1446  70.61% |  +0.0445 |  0.0326
   61 |  0.8753   1450  70.80% |  +0.0453 |  0.0309
   62 |  0.8766   1453  70.95% |  +0.0465 |  0.0306
   63 |  0.8764   1456  71.09% |  +0.0463 |  0.0306
   64 |  0.8773   1458  71.19% |  +0.0473 |  0.0287
   65 |  0.8785   1461  71.34% |  +0.0484 |  0.0296
   66 |  0.8797   1465  71.53% |  +0.0497 |  0.0288
   67 |  0.8805   1471  71.83% |  +0.0505 |  0.0284
   68 |  0.8803   1474  71.97% |  +0.0502 |  0.0274
   69 |  0.8804   1478  72.17% |  +0.0504 |  0.0269
   70 |  0.8809   1479  72.22% |  +0.0508 |  0.0259
   71 |  0.8821   1483  72.41% |  +0.0520 |  0.0245
   72 |  0.8824   1485  72.51% |  +0.0523 |  0.0248
   73 |  0.8832   1487  72.61% |  +0.0531 |  0.0253
   74 |  0.8841   1491  72.80% |  +0.0541 |  0.0246
   75 |  0.8843   1496  73.05% |  +0.0542 |  0.0235
   76 |  0.8845   1498  73.14% |  +0.0545 |  0.0221
   77 |  0.8843   1505  73.49% |  +0.0542 |  0.0215
   78 |  0.8848   1507  73.58% |  +0.0547 |  0.0215
   79 |  0.8852   1509  73.68% |  +0.0551 |  0.0200
   80 |  0.8859   1511  73.78% |  +0.0558 |  0.0202
   81 |  0.8867   1512  73.83% |  +0.0566 |  0.0201
   82 |  0.8874   1514  73.93% |  +0.0573 |  0.0204
   83 |  0.8875   1516  74.02% |  +0.0574 |  0.0195
   84 |  0.8879   1517  74.07% |  +0.0578 |  0.0197
   85 |  0.8886   1520  74.22% |  +0.0586 |  0.0187
   86 |  0.8884   1525  74.46% |  +0.0583 |  0.0190
   87 |  0.8887   1526  74.51% |  +0.0586 |  0.0182
   88 |  0.8888   1529  74.66% |  +0.0587 |  0.0172
   89 |  0.8887   1530  74.71% |  +0.0586 |  0.0169
   90 |  0.8890   1533  74.85% |  +0.0589 |  0.0167
   91 |  0.8891   1534  74.90% |  +0.0590 |  0.0161
   92 |  0.8893   1534  74.90% |  +0.0592 |  0.0152
   93 |  0.8893   1537  75.05% |  +0.0592 |  0.0148
   94 |  0.8895   1537  75.05% |  +0.0595 |  0.0138
   95 |  0.8901   1540  75.20% |  +0.0600 |  0.0131
   96 |  0.8899   1542  75.29% |  +0.0598 |  0.0129
   97 |  0.8896   1543  75.34% |  +0.0596 |  0.0138
   98 |  0.8899   1544  75.39% |  +0.0598 |  0.0131
   99 |  0.8907   1546  75.49% |  +0.0607 |  0.0130
  100 |  0.8910   1547  75.54% |  +0.0609 |  0.0130
  101 |  0.8909   1549  75.63% |  +0.0608 |  0.0121
  102 |  0.8905   1551  75.73% |  +0.0605 |  0.0119
  103 |  0.8905   1551  75.73% |  +0.0604 |  0.0113
  104 |  0.8910   1551  75.73% |  +0.0609 |  0.0115
  105 |  0.8908   1551  75.73% |  +0.0608 |  0.0121
  106 |  0.8905   1552  75.78% |  +0.0605 |  0.0110
  107 |  0.8909   1555  75.93% |  +0.0608 |  0.0106
  108 |  0.8913   1556  75.98% |  +0.0612 |  0.0102
  109 |  0.8913   1557  76.03% |  +0.0612 |  0.0105
  110 |  0.8912   1557  76.03% |  +0.0611 |  0.0103
  111 |  0.8912   1558  76.07% |  +0.0611 |  0.0097
  112 |  0.8914   1559  76.12% |  +0.0613 |  0.0097
  113 |  0.8914   1560  76.17% |  +0.0614 |  0.0091
  114 |  0.8920   1560  76.17% |  +0.0620 |  0.0094
  115 |  0.8922   1562  76.27% |  +0.0622 |  0.0091
  116 |  0.8922   1563  76.32% |  +0.0621 |  0.0081
  117 |  0.8920   1564  76.37% |  +0.0619 |  0.0080
  118 |  0.8927   1565  76.42% |  +0.0626 |  0.0078
  119 |  0.8925   1567  76.51% |  +0.0624 |  0.0082
  120 |  0.8925   1568  76.56% |  +0.0624 |  0.0074
  121 |  0.8925   1568  76.56% |  +0.0625 |  0.0069
  122 |  0.8926   1568  76.56% |  +0.0625 |  0.0070
  123 |  0.8927   1568  76.56% |  +0.0626 |  0.0071
  124 |  0.8927   1568  76.56% |  +0.0626 |  0.0070
  125 |  0.8929   1569  76.61% |  +0.0629 |  0.0066
  126 |  0.8928   1569  76.61% |  +0.0628 |  0.0066
