step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  diag=only
  δ=0.0903  G=0.7118
  batch 1/8  45s
  batch 2/8  89s
  batch 3/8  133s
  batch 4/8  178s
  batch 5/8  222s
  batch 6/8  267s
  batch 7/8  311s
  batch 8/8  355s

  seg |     acc  exact  exact% |     Δacc |   churn
    1 |  0.6806     51   2.49% |  -0.0288 |  0.0000
    2 |  0.7111     81   3.96% |  +0.0017 |  0.2173
    3 |  0.7163    224  10.94% |  +0.0069 |  0.1193
    4 |  0.7168    327  15.97% |  +0.0074 |  0.0742
    5 |  0.7165    379  18.51% |  +0.0071 |  0.0508
    6 |  0.7147    414  20.21% |  +0.0052 |  0.0393
    7 |  0.7135    426  20.80% |  +0.0041 |  0.0297
    8 |  0.7127    435  21.24% |  +0.0033 |  0.0246
    9 |  0.7123    440  21.48% |  +0.0029 |  0.0209
   10 |  0.7114    443  21.63% |  +0.0019 |  0.0177
   11 |  0.7106    449  21.92% |  +0.0012 |  0.0159
   12 |  0.7097    451  22.02% |  +0.0002 |  0.0144
   13 |  0.7097    451  22.02% |  +0.0002 |  0.0132
   14 |  0.7099    452  22.07% |  +0.0005 |  0.0112
   15 |  0.7096    453  22.12% |  +0.0002 |  0.0104
   16 |  0.7094    455  22.22% |  +0.0000 |  0.0096 ←학습
   17 |  0.7091    455  22.22% |  -0.0003 |  0.0092
   18 |  0.7090    456  22.27% |  -0.0004 |  0.0085
   19 |  0.7089    457  22.31% |  -0.0005 |  0.0077
   20 |  0.7085    457  22.31% |  -0.0010 |  0.0074
   21 |  0.7089    457  22.31% |  -0.0005 |  0.0072
   22 |  0.7085    458  22.36% |  -0.0009 |  0.0069
   23 |  0.7086    458  22.36% |  -0.0008 |  0.0065
   24 |  0.7088    458  22.36% |  -0.0006 |  0.0063
   25 |  0.7087    459  22.41% |  -0.0007 |  0.0060
   26 |  0.7087    459  22.41% |  -0.0007 |  0.0057
   27 |  0.7088    460  22.46% |  -0.0006 |  0.0052
   28 |  0.7084    461  22.51% |  -0.0011 |  0.0052
   29 |  0.7082    461  22.51% |  -0.0013 |  0.0053
   30 |  0.7082    461  22.51% |  -0.0012 |  0.0047
   31 |  0.7081    461  22.51% |  -0.0013 |  0.0046
   32 |  0.7077    461  22.51% |  -0.0017 |  0.0043
   33 |  0.7081    461  22.51% |  -0.0013 |  0.0041
   34 |  0.7079    461  22.51% |  -0.0015 |  0.0042
   35 |  0.7081    461  22.51% |  -0.0013 |  0.0041
   36 |  0.7079    462  22.56% |  -0.0015 |  0.0038
   37 |  0.7082    462  22.56% |  -0.0012 |  0.0037
   38 |  0.7081    462  22.56% |  -0.0013 |  0.0036
   39 |  0.7080    462  22.56% |  -0.0014 |  0.0036
   40 |  0.7080    462  22.56% |  -0.0014 |  0.0036
   41 |  0.7078    462  22.56% |  -0.0017 |  0.0034
   42 |  0.7077    462  22.56% |  -0.0017 |  0.0030
   43 |  0.7077    462  22.56% |  -0.0017 |  0.0031
   44 |  0.7076    462  22.56% |  -0.0018 |  0.0031
   45 |  0.7076    462  22.56% |  -0.0018 |  0.0031
   46 |  0.7076    462  22.56% |  -0.0018 |  0.0030
   47 |  0.7076    462  22.56% |  -0.0019 |  0.0030
   48 |  0.7075    463  22.61% |  -0.0019 |  0.0027
   49 |  0.7077    464  22.66% |  -0.0017 |  0.0027
   50 |  0.7076    464  22.66% |  -0.0018 |  0.0026
   51 |  0.7075    464  22.66% |  -0.0019 |  0.0027
   52 |  0.7074    464  22.66% |  -0.0020 |  0.0025
   53 |  0.7075    464  22.66% |  -0.0019 |  0.0024
   54 |  0.7075    464  22.66% |  -0.0019 |  0.0024
   55 |  0.7074    464  22.66% |  -0.0020 |  0.0024
   56 |  0.7075    464  22.66% |  -0.0019 |  0.0025
   57 |  0.7077    464  22.66% |  -0.0018 |  0.0025
   58 |  0.7075    464  22.66% |  -0.0019 |  0.0025
   59 |  0.7075    464  22.66% |  -0.0019 |  0.0024
   60 |  0.7074    464  22.66% |  -0.0020 |  0.0025
   61 |  0.7076    464  22.66% |  -0.0019 |  0.0024
   62 |  0.7074    464  22.66% |  -0.0020 |  0.0022
   63 |  0.7074    464  22.66% |  -0.0021 |  0.0023
   64 |  0.7074    464  22.66% |  -0.0020 |  0.0021
   65 |  0.7075    464  22.66% |  -0.0019 |  0.0022
   66 |  0.7074    464  22.66% |  -0.0020 |  0.0020
   67 |  0.7075    464  22.66% |  -0.0019 |  0.0021
   68 |  0.7075    464  22.66% |  -0.0020 |  0.0021
   69 |  0.7074    464  22.66% |  -0.0020 |  0.0020
   70 |  0.7073    464  22.66% |  -0.0021 |  0.0021
   71 |  0.7073    464  22.66% |  -0.0021 |  0.0023
   72 |  0.7073    464  22.66% |  -0.0021 |  0.0020
   73 |  0.7075    464  22.66% |  -0.0019 |  0.0020
   74 |  0.7073    464  22.66% |  -0.0021 |  0.0019
   75 |  0.7073    464  22.66% |  -0.0021 |  0.0021
   76 |  0.7073    464  22.66% |  -0.0021 |  0.0020
   77 |  0.7074    464  22.66% |  -0.0020 |  0.0018
   78 |  0.7074    464  22.66% |  -0.0021 |  0.0019
   79 |  0.7072    464  22.66% |  -0.0022 |  0.0019
   80 |  0.7072    464  22.66% |  -0.0022 |  0.0018
   81 |  0.7073    464  22.66% |  -0.0021 |  0.0017
   82 |  0.7072    464  22.66% |  -0.0022 |  0.0018
   83 |  0.7073    464  22.66% |  -0.0021 |  0.0018
   84 |  0.7073    464  22.66% |  -0.0021 |  0.0017
   85 |  0.7074    464  22.66% |  -0.0020 |  0.0017
   86 |  0.7073    464  22.66% |  -0.0021 |  0.0016
   87 |  0.7072    464  22.66% |  -0.0022 |  0.0018
   88 |  0.7072    464  22.66% |  -0.0023 |  0.0017
   89 |  0.7071    464  22.66% |  -0.0023 |  0.0015
   90 |  0.7072    464  22.66% |  -0.0022 |  0.0016
   91 |  0.7073    464  22.66% |  -0.0021 |  0.0015
   92 |  0.7073    465  22.71% |  -0.0021 |  0.0014
   93 |  0.7072    465  22.71% |  -0.0022 |  0.0015
   94 |  0.7073    465  22.71% |  -0.0021 |  0.0015
   95 |  0.7071    465  22.71% |  -0.0023 |  0.0016
   96 |  0.7073    465  22.71% |  -0.0021 |  0.0014
   97 |  0.7072    465  22.71% |  -0.0022 |  0.0014
   98 |  0.7072    465  22.71% |  -0.0022 |  0.0015
   99 |  0.7072    465  22.71% |  -0.0023 |  0.0014
  100 |  0.7072    465  22.71% |  -0.0022 |  0.0016
  101 |  0.7074    465  22.71% |  -0.0021 |  0.0014
  102 |  0.7074    465  22.71% |  -0.0020 |  0.0014
  103 |  0.7073    465  22.71% |  -0.0022 |  0.0014
  104 |  0.7070    465  22.71% |  -0.0024 |  0.0015
  105 |  0.7070    465  22.71% |  -0.0024 |  0.0014
  106 |  0.7072    465  22.71% |  -0.0023 |  0.0015
  107 |  0.7071    465  22.71% |  -0.0023 |  0.0014
  108 |  0.7070    465  22.71% |  -0.0024 |  0.0014
  109 |  0.7070    465  22.71% |  -0.0024 |  0.0012
  110 |  0.7070    465  22.71% |  -0.0024 |  0.0012
  111 |  0.7071    465  22.71% |  -0.0023 |  0.0013
  112 |  0.7072    465  22.71% |  -0.0023 |  0.0013
  113 |  0.7072    465  22.71% |  -0.0022 |  0.0012
  114 |  0.7070    465  22.71% |  -0.0024 |  0.0013
  115 |  0.7071    465  22.71% |  -0.0023 |  0.0012
  116 |  0.7073    465  22.71% |  -0.0021 |  0.0013
  117 |  0.7073    465  22.71% |  -0.0021 |  0.0014
  118 |  0.7071    466  22.75% |  -0.0023 |  0.0013
  119 |  0.7071    466  22.75% |  -0.0023 |  0.0010
  120 |  0.7070    466  22.75% |  -0.0024 |  0.0011
  121 |  0.7069    466  22.75% |  -0.0025 |  0.0012
  122 |  0.7069    466  22.75% |  -0.0025 |  0.0012
  123 |  0.7071    466  22.75% |  -0.0023 |  0.0012
  124 |  0.7071    467  22.80% |  -0.0023 |  0.0009
  125 |  0.7072    467  22.80% |  -0.0022 |  0.0010
  126 |  0.7071    467  22.80% |  -0.0023 |  0.0011
  127 |  0.7072    467  22.80% |  -0.0022 |  0.0012
  128 |  0.7071    467  22.80% |  -0.0023 |  0.0011
  129 |  0.7072    467  22.80% |  -0.0022 |  0.0010
  130 |  0.7074    467  22.80% |  -0.0021 |  0.0009
  131 |  0.7073    467  22.80% |  -0.0021 |  0.0010
  132 |  0.7072    467  22.80% |  -0.0022 |  0.0010
  133 |  0.7073    467  22.80% |  -0.0022 |  0.0012
  134 |  0.7071    467  22.80% |  -0.0023 |  0.0010
  135 |  0.7072    467  22.80% |  -0.0022 |  0.0010
  136 |  0.7071    467  22.80% |  -0.0023 |  0.0012
  137 |  0.7072    467  22.80% |  -0.0022 |  0.0013
  138 |  0.7072    467  22.80% |  -0.0022 |  0.0011
  139 |  0.7070    467  22.80% |  -0.0024 |  0.0010
  140 |  0.7070    467  22.80% |  -0.0024 |  0.0009
  141 |  0.7072    467  22.80% |  -0.0023 |  0.0009
  142 |  0.7071    468  22.85% |  -0.0023 |  0.0009
  143 |  0.7070    468  22.85% |  -0.0024 |  0.0010
  144 |  0.7071    468  22.85% |  -0.0023 |  0.0009
  145 |  0.7072    468  22.85% |  -0.0022 |  0.0009
  146 |  0.7071    468  22.85% |  -0.0023 |  0.0009
  147 |  0.7072    468  22.85% |  -0.0023 |  0.0008
  148 |  0.7071    468  22.85% |  -0.0023 |  0.0010
  149 |  0.7070    468  22.85% |  -0.0024 |  0.0009
  150 |  0.7071    468  22.85% |  -0.0024 |  0.0008
  151 |  0.7072    468  22.85% |  -0.0022 |  0.0008
  152 |  0.7072    468  22.85% |  -0.0022 |  0.0008
  153 |  0.7072    468  22.85% |  -0.0022 |  0.0009
  154 |  0.7072    468  22.85% |  -0.0022 |  0.0008
  155 |  0.7071    468  22.85% |  -0.0023 |  0.0008
  156 |  0.7073    468  22.85% |  -0.0021 |  0.0007
  157 |  0.7073    468  22.85% |  -0.0021 |  0.0006
  158 |  0.7073    468  22.85% |  -0.0021 |  0.0006
  159 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  160 |  0.7073    468  22.85% |  -0.0021 |  0.0007
  161 |  0.7073    468  22.85% |  -0.0021 |  0.0006
  162 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  163 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  164 |  0.7072    468  22.85% |  -0.0022 |  0.0005
  165 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  166 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  167 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  168 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  169 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  170 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  171 |  0.7071    468  22.85% |  -0.0023 |  0.0006
  172 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  173 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  174 |  0.7072    468  22.85% |  -0.0023 |  0.0006
