step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  diag=zero
  δ=0.0903  G=0.7118
  batch 1/8  44s
  batch 2/8  88s
  batch 3/8  132s
  batch 4/8  176s
  batch 5/8  221s
  batch 6/8  265s
  batch 7/8  310s
  batch 8/8  354s

  seg |     acc  exact  exact% |     Δacc |   churn
    1 |  0.5948      0   0.00% |  +0.2205 |  0.0000
    2 |  0.4657      0   0.00% |  +0.0915 |  0.3717
    3 |  0.4421      0   0.00% |  +0.0678 |  0.3126
    4 |  0.4276      0   0.00% |  +0.0534 |  0.2842
    5 |  0.4160      0   0.00% |  +0.0418 |  0.2683
    6 |  0.4103      0   0.00% |  +0.0361 |  0.2588
    7 |  0.4065      0   0.00% |  +0.0323 |  0.2576
    8 |  0.4018      0   0.00% |  +0.0276 |  0.2554
    9 |  0.3975      0   0.00% |  +0.0233 |  0.2584
   10 |  0.3921      0   0.00% |  +0.0179 |  0.2610
   11 |  0.3891      0   0.00% |  +0.0149 |  0.2677
   12 |  0.3855      0   0.00% |  +0.0113 |  0.2717
   13 |  0.3824      0   0.00% |  +0.0082 |  0.2773
   14 |  0.3794      0   0.00% |  +0.0052 |  0.2824
   15 |  0.3765      0   0.00% |  +0.0022 |  0.2843
   16 |  0.3742      0   0.00% |  +0.0000 |  0.2906 ←학습
   17 |  0.3703      0   0.00% |  -0.0040 |  0.2985
   18 |  0.3686      0   0.00% |  -0.0056 |  0.3052
   19 |  0.3651      0   0.00% |  -0.0091 |  0.3115
   20 |  0.3622      0   0.00% |  -0.0120 |  0.3150
   21 |  0.3591      0   0.00% |  -0.0151 |  0.3166
   22 |  0.3582      0   0.00% |  -0.0161 |  0.3242
   23 |  0.3553      0   0.00% |  -0.0189 |  0.3276
   24 |  0.3524      0   0.00% |  -0.0218 |  0.3302
   25 |  0.3499      0   0.00% |  -0.0243 |  0.3331
   26 |  0.3463      0   0.00% |  -0.0279 |  0.3382
   27 |  0.3448      0   0.00% |  -0.0294 |  0.3452
   28 |  0.3415      0   0.00% |  -0.0328 |  0.3479
   29 |  0.3374      0   0.00% |  -0.0369 |  0.3546
   30 |  0.3348      0   0.00% |  -0.0394 |  0.3563
   31 |  0.3326      0   0.00% |  -0.0416 |  0.3585
   32 |  0.3287      0   0.00% |  -0.0455 |  0.3639
   33 |  0.3277      0   0.00% |  -0.0465 |  0.3691
   34 |  0.3243      0   0.00% |  -0.0500 |  0.3735
   35 |  0.3223      0   0.00% |  -0.0519 |  0.3731
   36 |  0.3223      0   0.00% |  -0.0520 |  0.3800
   37 |  0.3175      0   0.00% |  -0.0567 |  0.3841
   38 |  0.3133      0   0.00% |  -0.0609 |  0.3886
   39 |  0.3098      0   0.00% |  -0.0644 |  0.3945
   40 |  0.3067      0   0.00% |  -0.0675 |  0.3979
   41 |  0.3026      0   0.00% |  -0.0716 |  0.4050
   42 |  0.2981      0   0.00% |  -0.0762 |  0.4069
   43 |  0.2953      0   0.00% |  -0.0790 |  0.4122
   44 |  0.2932      0   0.00% |  -0.0810 |  0.4177
   45 |  0.2878      0   0.00% |  -0.0865 |  0.4190
   46 |  0.2863      0   0.00% |  -0.0880 |  0.4222
   47 |  0.2819      0   0.00% |  -0.0923 |  0.4281
   48 |  0.2786      0   0.00% |  -0.0956 |  0.4360
   49 |  0.2745      0   0.00% |  -0.0998 |  0.4402
   50 |  0.2702      0   0.00% |  -0.1041 |  0.4443
   51 |  0.2674      0   0.00% |  -0.1069 |  0.4471
   52 |  0.2644      0   0.00% |  -0.1098 |  0.4526
   53 |  0.2624      0   0.00% |  -0.1118 |  0.4565
   54 |  0.2584      0   0.00% |  -0.1158 |  0.4569
   55 |  0.2561      0   0.00% |  -0.1182 |  0.4611
   56 |  0.2516      0   0.00% |  -0.1226 |  0.4675
   57 |  0.2482      0   0.00% |  -0.1260 |  0.4685
   58 |  0.2437      0   0.00% |  -0.1305 |  0.4733
   59 |  0.2428      0   0.00% |  -0.1314 |  0.4803
   60 |  0.2390      0   0.00% |  -0.1352 |  0.4830
   61 |  0.2366      0   0.00% |  -0.1377 |  0.4863
