step=310527  weights=ema  loops=257  npi=1
  λ=0.0
  δ=0.0903  G=0.7118
  batch 1/8  44s
  batch 2/8  88s
  batch 3/8  132s
  batch 4/8  175s
  batch 5/8  219s
  batch 6/8  263s
  batch 7/8  307s
  batch 8/8  351s

  seg |     acc  exact  exact% |     Δacc |   churn
    1 |  0.1826      0   0.00% |  -0.0218 |  0.0000
    2 |  0.1416      0   0.00% |  -0.0628 |  0.8535
    3 |  0.1716      0   0.00% |  -0.0328 |  0.8367
    4 |  0.1847      0   0.00% |  -0.0196 |  0.8076
    5 |  0.1922      0   0.00% |  -0.0122 |  0.7820
    6 |  0.1908      0   0.00% |  -0.0135 |  0.7567
    7 |  0.1925      0   0.00% |  -0.0119 |  0.7420
    8 |  0.1967      0   0.00% |  -0.0077 |  0.7325
    9 |  0.2011      0   0.00% |  -0.0033 |  0.7218
   10 |  0.1959      0   0.00% |  -0.0084 |  0.7087
   11 |  0.1984      0   0.00% |  -0.0059 |  0.7107
   12 |  0.2005      0   0.00% |  -0.0039 |  0.7015
   13 |  0.2009      0   0.00% |  -0.0035 |  0.6927
   14 |  0.2009      0   0.00% |  -0.0034 |  0.6839
   15 |  0.2036      0   0.00% |  -0.0008 |  0.6775
   16 |  0.2044      0   0.00% |  +0.0000 |  0.6750 ←학습
   17 |  0.2035      0   0.00% |  -0.0009 |  0.6710
   18 |  0.2049      0   0.00% |  +0.0006 |  0.6675
   19 |  0.2079      0   0.00% |  +0.0036 |  0.6659
   20 |  0.2064      0   0.00% |  +0.0020 |  0.6618
   21 |  0.2067      0   0.00% |  +0.0024 |  0.6540
   22 |  0.2067      0   0.00% |  +0.0024 |  0.6561
   23 |  0.2046      0   0.00% |  +0.0002 |  0.6577
   24 |  0.2027      0   0.00% |  -0.0016 |  0.6557
   25 |  0.2051      0   0.00% |  +0.0008 |  0.6597
   26 |  0.2047      0   0.00% |  +0.0003 |  0.6545
   27 |  0.2048      0   0.00% |  +0.0005 |  0.6574
   28 |  0.2062      0   0.00% |  +0.0018 |  0.6596
   29 |  0.2076      0   0.00% |  +0.0033 |  0.6559
   30 |  0.2059      0   0.00% |  +0.0015 |  0.6568
   31 |  0.2042      0   0.00% |  -0.0002 |  0.6561
   32 |  0.2062      0   0.00% |  +0.0019 |  0.6571
   33 |  0.2039      0   0.00% |  -0.0004 |  0.6592
   34 |  0.2030      0   0.00% |  -0.0014 |  0.6568
   35 |  0.2061      0   0.00% |  +0.0017 |  0.6620
   36 |  0.2048      0   0.00% |  +0.0004 |  0.6489
   37 |  0.2047      0   0.00% |  +0.0004 |  0.6484
   38 |  0.2038      0   0.00% |  -0.0006 |  0.6572
   39 |  0.2053      0   0.00% |  +0.0009 |  0.6585
   40 |  0.2032      0   0.00% |  -0.0012 |  0.6582
   41 |  0.2062      0   0.00% |  +0.0019 |  0.6539
   42 |  0.2045      0   0.00% |  +0.0002 |  0.6509
   43 |  0.2018      0   0.00% |  -0.0026 |  0.6570
   44 |  0.2037      0   0.00% |  -0.0007 |  0.6573
   45 |  0.2030      0   0.00% |  -0.0013 |  0.6595
   46 |  0.2038      0   0.00% |  -0.0006 |  0.6560
   47 |  0.2023      0   0.00% |  -0.0021 |  0.6566
   48 |  0.2020      0   0.00% |  -0.0023 |  0.6616
   49 |  0.2007      0   0.00% |  -0.0037 |  0.6614
   50 |  0.2009      0   0.00% |  -0.0034 |  0.6594
   51 |  0.2013      0   0.00% |  -0.0031 |  0.6559
   52 |  0.2013      0   0.00% |  -0.0030 |  0.6558
   53 |  0.2008      0   0.00% |  -0.0036 |  0.6593
   54 |  0.2014      0   0.00% |  -0.0030 |  0.6568
   55 |  0.2025      0   0.00% |  -0.0019 |  0.6533
   56 |  0.1999      0   0.00% |  -0.0045 |  0.6524
   57 |  0.2016      0   0.00% |  -0.0028 |  0.6547
   58 |  0.2005      0   0.00% |  -0.0039 |  0.6544
   59 |  0.2023      0   0.00% |  -0.0021 |  0.6550
   60 |  0.1995      0   0.00% |  -0.0049 |  0.6582
   61 |  0.2011      0   0.00% |  -0.0032 |  0.6595
   62 |  0.2000      0   0.00% |  -0.0044 |  0.6566
   63 |  0.2004      0   0.00% |  -0.0040 |  0.6544
   64 |  0.2008      0   0.00% |  -0.0035 |  0.6562
   65 |  0.2003      0   0.00% |  -0.0040 |  0.6546
   66 |  0.2020      0   0.00% |  -0.0024 |  0.6498
   67 |  0.1999      0   0.00% |  -0.0045 |  0.6557
   68 |  0.1998      0   0.00% |  -0.0046 |  0.6532
   69 |  0.1992      0   0.00% |  -0.0051 |  0.6578
   70 |  0.1985      0   0.00% |  -0.0058 |  0.6555
   71 |  0.1986      0   0.00% |  -0.0057 |  0.6551
   72 |  0.1998      0   0.00% |  -0.0046 |  0.6504
   73 |  0.2008      0   0.00% |  -0.0036 |  0.6526
   74 |  0.1991      0   0.00% |  -0.0052 |  0.6538
   75 |  0.2017      0   0.00% |  -0.0026 |  0.6541
   76 |  0.1993      0   0.00% |  -0.0050 |  0.6542
   77 |  0.1992      0   0.00% |  -0.0051 |  0.6551
   78 |  0.1997      0   0.00% |  -0.0046 |  0.6609
   79 |  0.1998      0   0.00% |  -0.0045 |  0.6587
   80 |  0.1993      0   0.00% |  -0.0051 |  0.6593
   81 |  0.2015      0   0.00% |  -0.0029 |  0.6578
   82 |  0.2006      0   0.00% |  -0.0038 |  0.6523
   83 |  0.1999      0   0.00% |  -0.0045 |  0.6583
   84 |  0.1979      0   0.00% |  -0.0065 |  0.6597
   85 |  0.1977      0   0.00% |  -0.0067 |  0.6595
   86 |  0.1988      0   0.00% |  -0.0056 |  0.6607
   87 |  0.1977      0   0.00% |  -0.0067 |  0.6579
   88 |  0.1982      0   0.00% |  -0.0061 |  0.6568
   89 |  0.1972      0   0.00% |  -0.0072 |  0.6604
   90 |  0.1988      0   0.00% |  -0.0055 |  0.6612
   91 |  0.1989      0   0.00% |  -0.0055 |  0.6597
   92 |  0.1986      0   0.00% |  -0.0058 |  0.6665
   93 |  0.1972      0   0.00% |  -0.0072 |  0.6639
   94 |  0.1984      0   0.00% |  -0.0059 |  0.6641
   95 |  0.1974      0   0.00% |  -0.0070 |  0.6653
   96 |  0.1962      0   0.00% |  -0.0081 |  0.6628
   97 |  0.1967      0   0.00% |  -0.0077 |  0.6641
   98 |  0.1989      0   0.00% |  -0.0055 |  0.6672
   99 |  0.1960      0   0.00% |  -0.0084 |  0.6623
  100 |  0.1972      0   0.00% |  -0.0072 |  0.6630
  101 |  0.1986      0   0.00% |  -0.0057 |  0.6624
  102 |  0.1989      0   0.00% |  -0.0054 |  0.6625
  103 |  0.1957      0   0.00% |  -0.0087 |  0.6637
  104 |  0.1981      0   0.00% |  -0.0062 |  0.6624
  105 |  0.1972      0   0.00% |  -0.0072 |  0.6623
  106 |  0.1951      0   0.00% |  -0.0093 |  0.6604
  107 |  0.1971      0   0.00% |  -0.0073 |  0.6609
  108 |  0.1972      0   0.00% |  -0.0072 |  0.6663
  109 |  0.1980      0   0.00% |  -0.0064 |  0.6633
  110 |  0.1958      0   0.00% |  -0.0086 |  0.6600
  111 |  0.1977      0   0.00% |  -0.0067 |  0.6637
  112 |  0.1962      0   0.00% |  -0.0082 |  0.6617
  113 |  0.1969      0   0.00% |  -0.0075 |  0.6651
  114 |  0.1975      0   0.00% |  -0.0069 |  0.6668
  115 |  0.1976      0   0.00% |  -0.0068 |  0.6642
  116 |  0.1974      0   0.00% |  -0.0069 |  0.6591
  117 |  0.1972      0   0.00% |  -0.0071 |  0.6549
  118 |  0.1978      0   0.00% |  -0.0066 |  0.6574
  119 |  0.1986      0   0.00% |  -0.0058 |  0.6585
  120 |  0.1969      0   0.00% |  -0.0074 |  0.6612
  121 |  0.1961      0   0.00% |  -0.0083 |  0.6611
  122 |  0.1969      0   0.00% |  -0.0075 |  0.6573
  123 |  0.1968      0   0.00% |  -0.0075 |  0.6587
  124 |  0.1975      0   0.00% |  -0.0068 |  0.6646
  125 |  0.1958      0   0.00% |  -0.0085 |  0.6640
  126 |  0.1971      0   0.00% |  -0.0072 |  0.6618
  127 |  0.1947      0   0.00% |  -0.0097 |  0.6599
  128 |  0.1963      0   0.00% |  -0.0081 |  0.6582
  129 |  0.1941      0   0.00% |  -0.0102 |  0.6586
  130 |  0.1956      0   0.00% |  -0.0088 |  0.6617
  131 |  0.1936      0   0.00% |  -0.0108 |  0.6646
  132 |  0.1943      0   0.00% |  -0.0101 |  0.6644
  133 |  0.1932      0   0.00% |  -0.0112 |  0.6587
  134 |  0.1926      0   0.00% |  -0.0118 |  0.6629
  135 |  0.1934      0   0.00% |  -0.0109 |  0.6635
  136 |  0.1916      0   0.00% |  -0.0127 |  0.6626
  137 |  0.1942      0   0.00% |  -0.0102 |  0.6614
  138 |  0.1939      0   0.00% |  -0.0104 |  0.6634
  139 |  0.1934      0   0.00% |  -0.0110 |  0.6651
  140 |  0.1928      0   0.00% |  -0.0115 |  0.6610
  141 |  0.1947      0   0.00% |  -0.0096 |  0.6592
  142 |  0.1920      0   0.00% |  -0.0124 |  0.6593
  143 |  0.1947      0   0.00% |  -0.0097 |  0.6600
  144 |  0.1904      0   0.00% |  -0.0140 |  0.6626
  145 |  0.1939      0   0.00% |  -0.0104 |  0.6613
  146 |  0.1918      0   0.00% |  -0.0125 |  0.6620
  147 |  0.1952      0   0.00% |  -0.0092 |  0.6607
  148 |  0.1933      0   0.00% |  -0.0111 |  0.6595
  149 |  0.1901      0   0.00% |  -0.0143 |  0.6659
  150 |  0.1903      0   0.00% |  -0.0140 |  0.6642
  151 |  0.1933      0   0.00% |  -0.0110 |  0.6664
  152 |  0.1898      0   0.00% |  -0.0145 |  0.6693
  153 |  0.1928      0   0.00% |  -0.0115 |  0.6673
  154 |  0.1915      0   0.00% |  -0.0129 |  0.6650
  155 |  0.1904      0   0.00% |  -0.0140 |  0.6681
  156 |  0.1896      0   0.00% |  -0.0147 |  0.6648
  157 |  0.1893      0   0.00% |  -0.0151 |  0.6665
  158 |  0.1908      0   0.00% |  -0.0136 |  0.6667
  159 |  0.1938      0   0.00% |  -0.0105 |  0.6682
  160 |  0.1923      0   0.00% |  -0.0121 |  0.6632
  161 |  0.1921      0   0.00% |  -0.0123 |  0.6601
  162 |  0.1904      0   0.00% |  -0.0139 |  0.6659
  163 |  0.1914      0   0.00% |  -0.0130 |  0.6681
  164 |  0.1924      0   0.00% |  -0.0119 |  0.6611
  165 |  0.1905      0   0.00% |  -0.0139 |  0.6631
  166 |  0.1900      0   0.00% |  -0.0143 |  0.6658
  167 |  0.1923      0   0.00% |  -0.0121 |  0.6650
  168 |  0.1940      0   0.00% |  -0.0104 |  0.6601
  169 |  0.1916      0   0.00% |  -0.0127 |  0.6595
  170 |  0.1915      0   0.00% |  -0.0128 |  0.6576
  171 |  0.1904      0   0.00% |  -0.0139 |  0.6611
  172 |  0.1913      0   0.00% |  -0.0131 |  0.6628
  173 |  0.1914      0   0.00% |  -0.0130 |  0.6623
  174 |  0.1910      0   0.00% |  -0.0133 |  0.6701
  175 |  0.1926      0   0.00% |  -0.0118 |  0.6625
  176 |  0.1919      0   0.00% |  -0.0125 |  0.6636
  177 |  0.1897      0   0.00% |  -0.0147 |  0.6688
  178 |  0.1909      0   0.00% |  -0.0135 |  0.6620
  179 |  0.1920      0   0.00% |  -0.0124 |  0.6627
  180 |  0.1926      0   0.00% |  -0.0118 |  0.6635
  181 |  0.1919      0   0.00% |  -0.0125 |  0.6621
  182 |  0.1910      0   0.00% |  -0.0134 |  0.6622
  183 |  0.1892      0   0.00% |  -0.0152 |  0.6650
  184 |  0.1892      0   0.00% |  -0.0152 |  0.6611
  185 |  0.1932      0   0.00% |  -0.0112 |  0.6608
  186 |  0.1922      0   0.00% |  -0.0121 |  0.6601
  187 |  0.1910      0   0.00% |  -0.0134 |  0.6653
  188 |  0.1914      0   0.00% |  -0.0130 |  0.6646
  189 |  0.1898      0   0.00% |  -0.0146 |  0.6619
  190 |  0.1905      0   0.00% |  -0.0139 |  0.6638
  191 |  0.1911      0   0.00% |  -0.0133 |  0.6654
  192 |  0.1921      0   0.00% |  -0.0123 |  0.6692
  193 |  0.1917      0   0.00% |  -0.0127 |  0.6648
  194 |  0.1909      0   0.00% |  -0.0135 |  0.6630
  195 |  0.1888      0   0.00% |  -0.0156 |  0.6639
  196 |  0.1899      0   0.00% |  -0.0145 |  0.6599
  197 |  0.1888      0   0.00% |  -0.0155 |  0.6601
  198 |  0.1886      0   0.00% |  -0.0158 |  0.6670
  199 |  0.1882      0   0.00% |  -0.0162 |  0.6680
  200 |  0.1875      0   0.00% |  -0.0168 |  0.6675
  201 |  0.1888      0   0.00% |  -0.0156 |  0.6668
