  누락(기본값 사용): ['inner.gain_raw']
step=228501  weights=ema  loops=257  npi=1
  λ=1.0
  δ=0.4906  G=1.0000
  batch 1/8  37s
  batch 2/8  74s
  batch 3/8  110s
  batch 4/8  147s
  batch 5/8  184s
  batch 6/8  220s
  batch 7/8  257s
  batch 8/8  293s

  seg |     acc  exact  exact% |     Δacc |   churn
    1 |  0.6692     46   2.25% |  -0.1514 |  0.0000
    2 |  0.7205     53   2.59% |  -0.1001 |  0.1809
    3 |  0.7516     95   4.64% |  -0.0690 |  0.1122
    4 |  0.7774    287  14.01% |  -0.0432 |  0.0760
    5 |  0.7925    501  24.46% |  -0.0280 |  0.0541
    6 |  0.7997    629  30.71% |  -0.0209 |  0.0439
    7 |  0.8054    722  35.25% |  -0.0151 |  0.0388
    8 |  0.8096    783  38.23% |  -0.0110 |  0.0358
    9 |  0.8123    825  40.28% |  -0.0082 |  0.0340
   10 |  0.8139    864  42.19% |  -0.0067 |  0.0339
   11 |  0.8153    890  43.46% |  -0.0053 |  0.0329
   12 |  0.8166    912  44.53% |  -0.0040 |  0.0331
   13 |  0.8168    925  45.17% |  -0.0037 |  0.0337
   14 |  0.8177    949  46.34% |  -0.0029 |  0.0352
   15 |  0.8184    956  46.68% |  -0.0021 |  0.0358
   16 |  0.8206    969  47.31% |  +0.0000 |  0.0374 ←학습
   17 |  0.8207    981  47.90% |  +0.0002 |  0.0381
   18 |  0.8222    986  48.14% |  +0.0017 |  0.0393
   19 |  0.8233    994  48.54% |  +0.0028 |  0.0394
   20 |  0.8215    997  48.68% |  +0.0009 |  0.0393
   21 |  0.8222   1004  49.02% |  +0.0016 |  0.0401
   22 |  0.8226   1011  49.37% |  +0.0020 |  0.0410
   23 |  0.8236   1015  49.56% |  +0.0030 |  0.0407
   24 |  0.8243   1021  49.85% |  +0.0038 |  0.0405
   25 |  0.8252   1027  50.15% |  +0.0046 |  0.0410
   26 |  0.8242   1030  50.29% |  +0.0037 |  0.0406
   27 |  0.8251   1032  50.39% |  +0.0045 |  0.0418
   28 |  0.8257   1036  50.59% |  +0.0051 |  0.0408
   29 |  0.8251   1036  50.59% |  +0.0046 |  0.0411
   30 |  0.8260   1038  50.68% |  +0.0054 |  0.0421
   31 |  0.8263   1041  50.83% |  +0.0057 |  0.0414
   32 |  0.8255   1042  50.88% |  +0.0049 |  0.0414
   33 |  0.8260   1045  51.03% |  +0.0054 |  0.0407
   34 |  0.8259   1047  51.12% |  +0.0053 |  0.0415
   35 |  0.8267   1048  51.17% |  +0.0062 |  0.0418
   36 |  0.8268   1049  51.22% |  +0.0062 |  0.0421
   37 |  0.8259   1049  51.22% |  +0.0053 |  0.0420
